n,i,t,a
Accomack,51001,2065279,1.069
Adair,40001,112528512,3.227
Adams,8001,1082454852,1.685
Addison,50001,150338,0.296
Aiken,45003,71096,0.368
Aitkin,27001,699509,2.714
Alamance,37001,209713,0.964
Alcorn,28003,416158,0.84
Alexander,37003,1889260,0.634
Alfalfa,40003,7173,0.031
Allamakee,19005,4089772,1.9
Allegan,26005,6984156,1.113
Allegany,36003,120484,0.602
Allen,39003,154459200,3.173
Allendale,45005,4519,0.299
Alpena,26007,3577,0.024
Amelia,51007,1969834,3.154
Anderson,48001,95642535,4.055
Andrew,29003,11087120,3.552
Anoka,27003,259525,0.163
Anson,37007,231586,0.316
Antelope,31003,11039407,1.516
Antrim,26009,38432,0.135
Appanoose,19007,18059394,6.706
Appling,13001,129376,1.624
Appomattox,51011,181188,0.818
Arapahoe,8005,1132310,1.589
Arenac,26011,213772,0.142
Arkansas,5001,12124,0.036
Armstrong,48011,249576,1.489
Aroostook,23003,7955,0.575
Ashland,55003,2150186,0.394
Ashley,5003,1549672,0.854
Ashtabula,39007,90578,0.504
Atascosa,48013,89202,0.381
Atchison,29005,59985216,2.309
Athens,39009,52943,0.121
Atkinson,13003,30542,0.532
Audrain,29007,46111242,7.428
Audubon,19009,23801208,2.755
Auglaize,39011,11410700,2.578
Augusta,51015,128826,0.242
Aurora,46003,16142763,1.751
Austin,48015,13216,0.032
Autauga,1001,1230,0.025
Avoyelles,22009,103266,0.517
Baca,8009,8159256,1.018
Bacon,13005,18703,0.058
Bailey,48017,414581,1.875
Baker,41001,773901,0.213
Ballard,21007,9391741,14.326
Baltimore,24005,56537,0.028
Bamberg,45009,42968,0.162
Banner,31007,2346762,3.267
Barber,20007,226074,1.475
Barbour,54001,15438,0.323
Barnes,38003,3089368,0.093
Barren,21009,5684489,8.258
Barron,55005,522635,0.066
Barry,29009,21784272,3.382
Bartholomew,18005,19491219,7.883
Barton,29011,42029834,3.07
Bastrop,48021,7478,0.05
Bates,29013,22907548,6.882
Bath,51017,1353378,2.805
Bay,26017,645394,0.167
Beadle,46005,21836957,0.573
Beaufort,45013,888732,0.279
Beaver,49001,988845,1.032
Becker,27005,188303,0.138
Bedford,51515,12746748,3.097
Bee,48025,2851308,1.798
Bell,48027,126500,0.428
Beltrami,27007,52304,0.158
Ben Hill,13017,4434,0.251
Bennett,46007,1786111,1.51
Benson,38005,1233269,0.136
Bent,8011,6621404,4.856
Benton,53005,479925144,2.541
Berkeley,54003,13314,0.029
Berks,42011,939057,0.367
Berrien,26021,3075268,0.284
Bertie,37015,249712,0.261
Bexar,48029,68117,0.051
Big Horn,56003,118416,0.09
Big Stone,27011,1148584,0.062
Billings,38007,6809,0.176
Black Hawk,19013,26775791,2.815
Blackford,18009,3099339,1.361
Bladen,37017,196683,0.124
Blaine,40011,104484,0.327
Blair,42013,557368,0.431
Bledsoe,47007,113500,1.413
Blue Earth,27013,1841722,0.461
Bolivar,28011,2017153,0.285
Bollinger,29017,955255,6.862
Bon Homme,46009,46251351,10.585
Bond,17005,42568653,10.017
Boone,54005,770165944,4.316
Bottineau,38009,635911,0.228
Bourbon,21017,11011680,4.375
Bowie,48037,230693,0.612
Bowman,38011,556427,1.028
Box Butte,31013,2985208,0.994
Box Elder,49003,982,0.016
Boyd,31015,22256168,8.383
Boyle,21021,607789,4.571
Bracken,21023,64442,2.101
Bradford,42015,61408,0.057
Branch,26023,5701872,3.085
Brantley,13025,2542,0.022
Brazoria,48039,307106,0.24
Brazos,48041,5633,0.033
Breckinridge,21027,9043997,5.902
Bremer,19017,22701332,9.16
Briscoe,48045,4021,0.122
Brookings,46011,5122248,0.798
Brooks,48047,131318,0.293
Brown,55009,418351491,1.352
Brule,46015,11622547,1.22
Brunswick,51025,859168,0.704
Bryan,40013,22100,0.014
Buchanan,51027,68683299,1.166
Bucks,42017,164625,0.176
Buena Vista,51530,18231722,1.156
Buffalo,55011,55762032,1.489
Bullitt,21029,427237,3.348
Bulloch,13031,29834,0.033
Bullock,1011,31390,0.698
Bureau,17011,45223898,1.628
Burke,38013,14892,0.003
Burleigh,38015,451104,0.118
Burleson,48051,70019,0.248
Burlington,34005,74464,0.667
Burnett,55013,570164,0.225
Burt,31021,10187526,1.738
Butler,42019,587784664,2.774
Butte,6007,2029659,0.561
Cabarrus,37025,59658,1.327
Caddo,40015,476646,0.421
Caldwell,48055,96693830,3.121
Calhoun,54013,607328359,2.664
Callaway,29027,10599454,3.355
Calloway,21035,14331898,6.825
Calumet,55015,344556,0.086
Cambria,42021,58867,0.104
Camden,37029,155172,0.043
Cameron,48061,366357,0.062
Campbell,56005,6065810,0.116
Cannon,47015,2420897,9.998
Canyon,16027,57159,0.736
Cape Girardeau,29031,5865443,3.809
Carbon,56007,23780,0.039
Carlisle,21039,8656550,7.687
Caroline,51033,18507462,2.691
Carroll,51035,1506018826,2.833
Carson,48065,87324,0.342
Carver,27019,866080,0.121
Casey,21045,547959,2.61
Cass,48067,769403268,2.335
Cassia,16031,6687,0.186
Castro,48069,1524641,0.504
Caswell,37033,342670,1.496
Catahoula,22025,471942,0.394
Catawba,37035,13903,0.059
Cattaraugus,36009,112939,0.149
Cavalier,38019,102834,0.039
Cayuga,36011,65144,0.186
Cecil,24015,27790,0.027
Cedar,31027,201550326,3.292
