n,i,t,a
Kent,10001,156212,0.156
New Castle,10003,234,0.002
Sussex,10005,201760,0.293
Alachua,12001,57987,2.792
Calhoun,12013,46061,2.43
Columbia,12023,29996,1.383
Dade,12025,74652,0.93
Escambia,12033,42841,0.788
Gadsden,12039,28389,2.389
Hamilton,12047,155495,3.343
Hendry,12051,41061,1.518
Holmes,12059,49121,4.373
Jackson,12063,623833,3.243
Jefferson,12065,47863,3.95
Lafayette,12067,3403,0.31
Levy,12075,3851,0.05
Madison,12079,69213,2.413
Okaloosa,12091,2922,3.486
Palm Beach,12099,14561,0.086
Santa Rosa,12113,5177,0.725
Suwannee,12121,90943,3.6
Walton,12131,67145,3.763
Appling,13001,410808,4.791
Atkinson,13003,42536,2.482
Bacon,13005,211102,2.986
Baker,13007,181613,1.984
Ben Hill,13017,40731,1.147
Berrien,13019,257798,4.098
Bleckley,13023,6667,0.665
Brooks,13027,124276,2.938
Bulloch,13031,314878,3.78
Burke,13033,181874,2.582
Calhoun,13037,456376,3.996
Candler,13043,52669,2.305
Clay,13061,69434,4.218
Coffee,13069,233275,4.345
Colquitt,13071,91581,4.549
Cook,13075,13568,0.612
Crisp,13081,64255,1.897
Decatur,13087,306579,2.26
Dodge,13091,50531,2.026
Dooly,13093,6018,1.238
Dougherty,13095,79360,1.515
Early,13099,748613,3.381
Effingham,13103,235575,3.802
Emanuel,13107,243871,5.336
Evans,13109,43378,1.482
Grady,13131,1266086,5.267
Houston,13153,72896,2.528
Irwin,13155,220491,2.819
Jeff Davis,13161,27210,2.523
Jefferson,13163,50859,1.973
Jenkins,13165,84277,1.963
Johnson,13167,20650,2.273
Lanier,13173,26500,2.155
Laurens,13175,125690,2.149
Lee,13177,554683,2.692
Lowndes,13185,129263,2.864
Macon,13193,47099,2.217
Marion,13197,12427,0.368
Miller,13201,765681,3.502
Mitchell,13205,78166,0.427
Montgomery,13209,15462,2.294
Peach,13225,8320,0.686
Pierce,13229,430433,3.951
Pulaski,13235,22357,1.193
Randolph,13243,35990,1.979
Schley,13249,34394,2.778
Screven,13251,128942,2.157
Seminole,13253,398113,2.752
Stewart,13259,80788,3.999
Sumter,13261,263746,1.443
Tattnall,13267,191551,4.18
Taylor,13269,6704,1.86
Telfair,13271,23370,1.132
Terrell,13273,795663,2.6
Thomas,13275,232938,3.34
Tift,13277,104611,5.157
Toombs,13279,87168,3.202
Turner,13287,24586,3.517
Twiggs,13289,7702,1.314
Ware,13299,383545,7.236
Washington,13303,52127,0.938
Wayne,13305,464722,4.917
Webster,13307,43826,3.22
Wheeler,13309,3297,0.52
Wilcox,13315,12913,0.613
Worth,13321,274119,4.033
Canyon,16027,140,0.002
Gooding,16047,34877,0.327
Twin Falls,16083,162353,0.234
Washington,16087,1498,0.785
Adams,17001,392262,0.479
Alexander,17003,27797,1.114
Bond,17005,778334,0.929
Brown,17009,208086,0.342
Bureau,17011,382147,0.075
Calhoun,17013,77758,1.749
Carroll,17015,25715,0.035
Cass,17017,168580,0.191
Champaign,17019,1065586,0.393
Christian,17021,319450,0.226
Clark,17023,740770,0.792
Clay,17025,917907,0.987
Clinton,17027,567494,1.012
Coles,17029,297054,0.696
Crawford,17033,488955,0.956
Cumberland,17035,57067,0.144
De Kalb,17037,94475,0.079
De Witt,17039,54397,0.291
Douglas,17041,512335,0.47
Edgar,17045,255781,1.458
Edwards,17047,81968,0.678
Effingham,17049,278889,0.804
Fayette,17051,595516,0.498
Ford,17053,463090,0.231
Franklin,17055,230066,1.174
Fulton,17057,313745,0.224
Gallatin,17059,1458045,1.604
Greene,17061,261511,0.257
Grundy,17063,211706,0.154
Hamilton,17065,751421,1.343
Hancock,17067,484887,0.316
Henderson,17071,236029,0.186
Henry,17073,241651,0.045
Iroquois,17075,1335039,0.194
Jackson,17077,106923,0.541
Jasper,17079,354681,0.511
Jefferson,17081,409006,1.135
Jersey,17083,105198,0.253
Jo Daviess,17085,75667,0.049
Johnson,17087,220991,1.529
Kane,17089,65616,0.103
Kankakee,17091,148682,0.116
Kendall,17093,19654,0.023
Knox,17095,201144,0.268
Lake,17097,6052,0.025
La Salle,17099,168286,0.028
Lawrence,17101,764191,1.33
Lee,17103,20094,0.004
Livingston,17105,1345688,0.29
Logan,17107,633034,0.327
McDonough,17109,254710,0.283
McHenry,17111,35425,0.029
McLean,17113,753322,0.174
Macon,17115,406538,0.477
Macoupin,17117,893774,0.557
Madison,17119,524224,0.521
Marion,17121,518596,0.935
Marshall,17123,55761,0.033
Mason,17125,233011,0.146
Massac,17127,68883,1.268
Menard,17129,165848,0.453
Mercer,17131,456353,0.22
Monroe,17133,93734,0.492
Montgomery,17135,489352,0.528
Morgan,17137,128316,0.526
Moultrie,17139,244778,0.452
Ogle,17141,102808,0.108
Peoria,17143,127771,0.073
Perry,17145,107734,0.6
Piatt,17147,517248,0.372
Pike,17149,134466,0.532
Pope,17151,70251,0.745
Pulaski,17153,36315,0.732
Putnam,17155,72150,0.431
Randolph,17157,111546,0.402
Richland,17159,413430,0.41
Rock Island,17161,85523,0.193
St Clair,17163,68023,0.14
Saline,17165,438428,1.031
Sangamon,17167,305348,0.325
Schuyler,17169,324528,0.635
Scott,17171,88413,0.185
Shelby,17173,96666,0.118
Stark,17175,100146,0.092
Stephenson,17177,190663,0.17
Tazewell,17179,124932,0.095
Union,17181,120195,0.64
Vermilion,17183,925731,0.244
Wabash,17185,259709,1.428
Warren,17187,144091,0.112
Washington,17189,290877,0.526
Wayne,17191,1872474,0.988
White,17193,464171,0.73
Whiteside,17195,146185,0.038
Will,17197,127681,0.053
Williamson,17199,122958,0.305
Winnebago,17201,39708,0.312
Woodford,17203,28418,0.019
Adams,18001,69060,0.285
Allen,18003,67725,0.248
Bartholomew,18005,743374,1.091
Benton,18007,517843,0.282
Blackford,18009,24672,0.255
Boone,18011,148929,0.157
Carroll,18015,646886,0.174
Cass,18017,152026,0.111
Clark,18019,96667,0.634
Clay,18021,774310,3.278
Clinton,18023,279535,0.095
Daviess,18027,1755592,1.682
Dearborn,18029,50590,1.342
Decatur,18031,740899,0.559
De Kalb,18033,1616,0.004
Delaware,18035,132796,0.126
Dubois,18037,71647,0.472
Elkhart,18039,111,0.002
Fayette,18041,62439,0.177
Fountain,18045,691284,0.645
Franklin,18047,88759,0.841
Fulton,18049,106652,0.081
Gibson,18051,928544,1.24
Grant,18053,220219,0.225
Greene,18055,1297171,1.973
Hamilton,18057,89883,0.144
Hancock,18059,112692,0.305
Harrison,18061,53439,0.458
Hendricks,18063,21264,0.148
Henry,18065,124448,0.249
Howard,18067,112451,0.164
Huntington,18069,65644,0.09
Jackson,18071,987338,1.792
Jasper,18073,142453,0.04
Jay,18075,192737,0.272
Jefferson,18077,816938,1.333
Jennings,18079,867479,2.269
Johnson,18081,218160,1.076
Knox,18083,1862790,1.183
Kosciusko,18085,59366,0.171
Lake,18089,19052,0.011
La Porte,18091,161313,0.175
Lawrence,18093,264383,1.434
Madison,18095,211808,0.249
Marion,18097,30286,0.223
Marshall,18099,145589,0.096
Martin,18101,122643,1.013
Miami,18103,32021,0.11
Montgomery,18107,249729,0.141
Morgan,18109,497578,1.83
Newton,18111,73463,0.035
Noble,18113,8793,0.124
Ohio,18115,5094,0.98
Orange,18117,68474,0.317
Owen,18119,339441,3.164
Parke,18121,868662,0.88
Pike,18125,286898,0.896
Porter,18127,5603,0.003
Posey,18129,368947,1.23
Pulaski,18131,107787,0.044
Putnam,18133,180080,0.461
Randolph,18135,57203,0.132
Ripley,18137,651243,1.238
Rush,18139,133891,0.327
St Joseph,18141,56238,0.096
Scott,18143,196851,0.912
Shelby,18145,390718,0.548
Spencer,18147,283899,1.141
Starke,18149,109345,0.117
Steuben,18151,85,0.001
Sullivan,18153,1268479,0.861
Switzerland,18155,44444,0.892
Tippecanoe,18157,442074,0.195
Tipton,18159,164041,0.342
Union,18161,25967,0.245
Vanderburgh,18163,8431,1.085
Vermillion,18165,521095,0.992
Vigo,18167,1174179,1.592
Wabash,18169,53190,0.446
Warren,18171,775373,0.606
Warrick,18173,366246,2.763
Washington,18175,208412,0.367
Wayne,18177,92577,0.159
Wells,18179,58068,0.067
White,18181,904964,0.178
Whitley,18183,9616,0.036
Adair,19001,231670,0.187
Adams,19003,72315,0.155
Allamakee,19005,21139,0.038
Appanoose,19007,407562,1.32
Audubon,19009,964097,0.755
Benton,19011,556768,0.165
Black Hawk,19013,228239,0.103
Boone,19015,458707,0.23
Bremer,19017,93641,0.073
Buchanan,19019,69033,0.053
Buena Vista,19021,152256,0.058
Butler,19023,135006,0.12
Calhoun,19025,3041885,1.772
Carroll,19027,259859,0.312
Cass,19029,471955,0.412
Cedar,19031,56047,0.012
Cerro Gordo,19033,400508,0.071
Cherokee,19035,84916,0.052
Chickasaw,19037,135978,0.219
Clarke,19039,776558,1.22
Clay,19041,45504,0.029
Clayton,19043,53199,0.059
Clinton,19045,268240,0.11
Crawford,19047,1709692,0.534
Dallas,19049,450119,0.159
Davis,19051,152852,0.286
Decatur,19053,378023,0.615
Delaware,19055,94025,0.056
Des Moines,19057,602662,0.193
Dickinson,19059,17650,0.081
Dubuque,19061,148813,0.408
Emmet,19063,94557,0.344
Fayette,19065,36907,0.036
Floyd,19067,153284,0.104
Franklin,19069,393324,0.112
Fremont,19071,3006081,1.128
Greene,19073,675465,0.489
Grundy,19075,150589,0.083
Guthrie,19077,448637,0.278
Hamilton,19079,415431,0.324
Hancock,19081,1004394,1.155
Hardin,19083,501892,0.147
Harrison,19085,1400871,1.036
Henry,19087,300896,0.157
Howard,19089,68392,0.271
Humboldt,19091,837837,0.808
Ida,19093,527523,0.327
Iowa,19095,664167,0.223
Jackson,19097,335455,0.261
Jasper,19099,943189,0.779
Jefferson,19101,688752,0.3
Johnson,19103,1155453,0.861
Jones,19105,79052,0.171
Keokuk,19107,2047270,1.11
Kossuth,19109,901035,0.503
Lee,19111,748330,0.527
Linn,19113,57805,0.051
Louisa,19115,720092,0.327
Lucas,19117,497304,1.308
Lyon,19119,83236,0.096
Madison,19121,175742,0.107
Mahaska,19123,860685,0.325
Marion,19125,656809,0.407
Marshall,19127,561874,0.255
Mills,19129,1469759,1.079
Mitchell,19131,43303,0.011
Monona,19133,2039970,0.837
Monroe,19135,561285,1.102
Montgomery,19137,510702,0.313
Muscatine,19139,424906,0.152
O Brien,19141,25232,0.033
Osceola,19143,88209,0.098
Page,19145,515118,0.236
Palo Alto,19147,1317746,0.607
Plymouth,19149,146351,0.028
Pocahontas,19151,1237700,1.829
Polk,19153,494035,1.1
E Pottawattamie,19155,327805,0.159
Poweshiek,19157,162241,0.086
Ringgold,19159,270369,0.317
Sac,19161,2595573,0.897
Scott,19163,89856,0.081
Shelby,19165,1209615,1.018
Sioux,19167,84464,0.057
Story,19169,496568,0.16
Tama,19171,840959,0.29
Taylor,19173,333324,0.22
Union,19175,219170,0.248
Van Buren,19177,400068,0.493
Wapello,19179,459259,0.25
Warren,19181,1149690,0.623
Washington,19183,1317437,0.917
Wayne,19185,996960,0.754
Webster,19187,2687649,3.531
Winnebago,19189,116452,0.045
Winneshiek,19191,58977,0.048
Woodbury,19193,2043959,0.555
Worth,19195,59986,0.265
Wright,19197,1313305,1.435
Allen,20001,19500,0.277
Anderson,20003,82624,0.128
Atchison,20005,4880,0.003
Barton,20009,22742,0.053
Bourbon,20011,71916,0.461
Brown,20013,5958,0.003
Butler,20015,59195,0.842
Chase,20017,16338,0.155
Cherokee,20021,8653,0.05
Cheyenne,20023,73582,0.06
Clay,20027,1797,0.005
Cloud,20029,31515,0.251
Coffey,20031,51605,0.133
Comanche,20033,6524,0.175
Cowley,20035,32085,0.407
Crawford,20037,188150,0.696
Decatur,20039,3750,0.007
Dickinson,20041,9127,0.095
Doniphan,20043,36798,0.172
Douglas,20045,4195,0.004
Edwards,20047,56067,0.131
Elk,20049,1866,0.253
Ellis,20051,2496,0.077
Finney,20055,86228,0.06
Ford,20057,47527,0.108
Franklin,20059,14110,0.046
Gove,20063,12967,0.011
Graham,20065,5604,0.006
Grant,20067,140987,0.118
Gray,20069,28965,0.011
Greeley,20071,2500,0.004
Greenwood,20073,17555,0.196
Harvey,20079,2317,0.177
Haskell,20081,49675,0.022
Hodgeman,20083,6787,0.07
Jackson,20085,4230,0.005
Jefferson,20087,2790,0.001
Jewell,20089,5892,0.019
Johnson,20091,2630,0.009
Kearny,20093,977,0.001
Kingman,20095,11889,0.073
Kiowa,20097,108308,0.523
Labette,20099,8645,0.124
Lane,20101,208,0.0
Leavenworth,20103,21855,0.242
Linn,20107,36663,0.347
Logan,20109,6101,0.007
Lyon,20111,23708,0.141
McPherson,20113,1541,0.005
Marion,20115,25484,0.09
Marshall,20117,19993,0.007
Meade,20119,2295,0.002
Miami,20121,66474,0.208
Mitchell,20123,6877,0.021
Montgomery,20125,15799,0.185
Morris,20127,16132,0.053
Morton,20129,248896,0.487
Nemaha,20131,27123,0.012
Neosho,20133,3293,0.035
Ness,20135,2901,0.052
Norton,20137,1712,0.001
Osage,20139,1824,0.003
Ottawa,20143,1000,0.006
Pawnee,20145,105952,0.15
Phillips,20147,108,0.0
Pottawatomie,20149,24951,0.021
Pratt,20151,75602,0.113
Rawlins,20153,53951,0.034
Reno,20155,10346,0.049
Republic,20157,23697,0.008
Rice,20159,3397,0.008
