n,i,t,a
Acadia,22001,77136,1.556
Accomack,51001,419962,0.325
Adair,40001,2357924,0.152
Adams,8001,53000388,0.821
Addison,50001,96193,0.501
Aiken,45003,3526,0.165
Aitkin,27001,29120,1.143
Alamance,37001,2633,0.275
Alcorn,28003,142163,1.418
Alexander,37003,522936,0.732
Allamakee,19005,187557,0.368
Allegan,26005,271696,0.216
Alleghany,51005,4062,0.117
Allen,39003,2190015,0.291
Allendale,45005,46060,0.457
Alpena,26007,4322,0.071
Amelia,51007,44725,0.262
Anderson,48001,4056895,1.299
Andrew,29003,541033,0.548
Anoka,27003,129416,1.084
Anson,37007,48344,1.217
Antelope,31003,502823,0.199
Antrim,26009,848,0.032
Appanoose,19007,215739,0.199
Appling,13001,3042,0.299
Appomattox,51011,16776,0.605
Arapahoe,8005,45642,0.271
Arenac,26011,112351,0.517
Armstrong,48011,316044,0.37
Ashland,55003,323002,0.469
Ashley,5003,303428,0.379
Ashtabula,39007,794567,2.54
Atascosa,48013,12884,0.178
Atchison,29005,8520182,1.944
Athens,39009,81091,1.802
Atkinson,13003,1823,0.074
Atlantic,34001,5866,0.652
Audrain,29007,1883510,1.142
Audubon,19009,346070,0.115
Auglaize,39011,290049,0.498
Augusta,51015,212364,1.085
Aurora,46003,1500644,0.886
Austin,48015,157552,1.727
Autauga,1001,8250,0.284
Avoyelles,22009,245262,0.848
Baca,8009,211099,0.293
Bacon,13005,11468,0.089
Bailey,48017,28500,0.684
Baker,41001,164634,0.242
Baldwin,13009,4962,0.288
Ballard,21007,73315,0.258
Baltimore,24005,93857,0.175
Bamberg,45009,118931,0.884
Banner,31007,316914,0.857
Barber,20007,30049,0.187
Barnes,38003,570680,0.297
Barnwell,45011,27146,0.368
Barron,55005,1368769,0.566
Barry,29009,71968,0.055
Bartholomew,18005,627084,0.975
Barton,29011,1171248,0.934
Bastrop,48021,111722,2.057
Bates,29013,834399,1.323
Bath,51017,20930,1.25
Bay,26017,189154,0.105
Beadle,46005,9050161,1.893
Beaufort,45013,1253606,0.774
Beaver,49001,52917,0.277
Becker,27005,244644,0.879
Bedford,51515,3235344,0.561
