n,i,t,a
Kent,10001,5912,0.017
New Castle,10003,8535,0.046
Sussex,10005,112017,0.575
Alachua,12001,1895,0.068
Calhoun,12013,778,1.192
Columbia,12023,2080,0.69
Dade,12025,527480,0.568
Escambia,12033,16922,0.474
Gadsden,12039,488,0.06
Gilchrist,12041,12044,0.3
Hamilton,12047,17534,1.835
Holmes,12059,475,0.389
Jackson,12063,11219,0.142
Madison,12079,963,0.023
Okaloosa,12091,816,1.256
Palm Beach,12099,1857596,1.121
St Johns,12109,239789,1.302
Santa Rosa,12113,8543,1.465
Suwannee,12121,3923,0.036
Walton,12131,2654,0.764
Appling,13001,4400,0.271
Atkinson,13003,282,0.048
Baker,13007,30095,0.767
Ben Hill,13017,2751,0.713
Berrien,13019,10516,0.128
Brantley,13025,5455,0.605
Brooks,13027,24416,0.699
Bulloch,13031,193483,0.276
Burke,13033,19862,0.273
Calhoun,13037,13040,0.264
Candler,13043,50731,0.222
Clay,13061,508,0.028
Colquitt,13071,3778,0.483
Crisp,13081,988,0.925
Decatur,13087,696831,0.858
Dodge,13091,8165,0.349
Dougherty,13095,191,0.01
Early,13099,67317,0.298
Effingham,13103,44881,0.161
Emanuel,13107,48711,0.444
Evans,13109,5457,0.742
Grady,13131,20702,0.019
Irwin,13155,3888,0.075
Jefferson,13163,2359,0.154
Jenkins,13165,30126,0.203
Johnson,13167,3454,0.414
Laurens,13175,3228,0.032
Lee,13177,3536,0.232
Lowndes,13185,5867,1.366
Macon,13193,1319,0.198
Marion,13197,13629,0.666
Miller,13201,25803,0.144
Mitchell,13205,76197,0.145
Montgomery,13209,1628,0.077
Pierce,13229,12894,0.063
Pulaski,13235,4941,0.899
Randolph,13243,22088,0.395
Schley,13249,3594,0.652
Screven,13251,6202,0.38
Seminole,13253,24520,0.396
Stewart,13259,11407,0.603
Sumter,13261,49812,1.045
Tattnall,13267,10144,0.174
Taylor,13269,540,0.17
Telfair,13271,263,0.034
Terrell,13273,156865,0.731
Thomas,13275,451,0.003
Tift,13277,3759,0.345
Toombs,13279,255,0.048
Turner,13287,1969,0.337
Wayne,13305,22292,0.35
Webster,13307,56222,0.856
Wheeler,13309,323,0.09
Worth,13321,2653,0.066
Canyon,16027,978,0.06
Elmore,16039,15594,0.177
Gooding,16047,2790,0.01
Lincoln,16063,114170,1.627
Owyhee,16073,6702,0.303
Power,16077,70656,0.697
Twin Falls,16083,176627,4.097
Adams,17001,260108,0.13
Alexander,17003,8282,0.093
Bond,17005,242765,0.108
Boone,17007,172210,0.21
Brown,17009,69034,0.112
Bureau,17011,125639,0.049
Calhoun,17013,97303,0.538
Carroll,17015,110719,0.08
Cass,17017,179521,0.341
Champaign,17019,1088419,0.1
Christian,17021,597811,0.13
Clark,17023,196990,0.128
Clay,17025,132285,0.077
Clinton,17027,167379,0.048
Coles,17029,95063,0.033
Cook,17031,68585,0.675
Crawford,17033,139556,0.082
Cumberland,17035,78750,0.105
De Kalb,17037,618772,0.231
De Witt,17039,369749,0.197
Douglas,17041,227644,0.036
Edgar,17045,165620,0.112
Edwards,17047,68701,0.109
Effingham,17049,91245,0.211
Fayette,17051,295698,0.143
Ford,17053,283880,0.035
Franklin,17055,82592,0.105
Fulton,17057,176672,0.078
Gallatin,17059,267450,0.082
Greene,17061,407882,0.228
Grundy,17063,507312,0.118
Hamilton,17065,85254,0.037
Hancock,17067,209535,0.179
