n,i,t,a
Accomack,51001,95753,0.019
Ada,16001,84056,0.809
Adair,40001,74307136,1.021
Adams,8001,351383400,0.532
Addison,50001,1676688,2.506
Aiken,45003,35547,0.134
Aitkin,27001,513731,1.655
Alachua,12001,16403,0.129
Alamance,37001,43173,0.124
Alcorn,28003,524482,2.656
Alexander,37003,2836508,0.457
Alfalfa,40003,225050,1.65
Allamakee,19005,8476741,1.528
Allegan,26005,3244202,0.618
Allegany,36003,341758,0.213
Allen,39003,12638865,0.184
Allendale,45005,6104,0.018
Alpena,26007,610109,1.598
Amelia,51007,2573,0.001
Anderson,48001,12973680,0.431
Andrew,29003,1911774,0.192
Anoka,27003,1314535,1.572
Anson,37007,76071,0.318
Antelope,31003,8001041,1.172
Antrim,26009,66549,0.419
Appanoose,19007,7533474,1.426
Appling,13001,10342,0.049
Arapahoe,8005,207149,0.938
Arenac,26011,1318117,0.713
Arkansas,5001,362746,0.79
Armstrong,48011,454716,0.273
Aroostook,23003,8706,1.343
Ashland,55003,1637582,0.462
Ashley,5003,1421925,0.431
Ashtabula,39007,2119500,1.414
Atascosa,48013,148228,0.483
Atchison,29005,11067302,0.202
Athens,39009,25612,0.448
Atkinson,13003,60001,0.261
Atlantic,34001,5980,0.291
Audrain,29007,5126598,0.468
Audubon,19009,14277412,1.291
Auglaize,39011,570494,0.05
Augusta,51015,31027,0.023
Aurora,46003,114796,0.003
Austin,48015,24307,0.03
Autauga,1001,14310,0.108
Avoyelles,22009,1557,0.002
Baca,8009,5415827,0.366
Bacon,13005,25323,1.622
Bailey,48017,621842,1.466
Baker,41001,2856681,0.269
Baldwin,13009,21134,0.662
Ballard,21007,990778,1.102
Baltimore,24005,286457,0.323
Bamberg,45009,98427,0.232
Banner,31007,1034282,0.48
Barber,20007,243725,1.402
Barbour,54001,14294,0.073
Barnes,38003,17224235,0.325
Barnwell,45011,6413,0.257
Barren,21009,257908,0.2
Barron,55005,11560243,1.778
Barry,29009,6551836,0.418
Bartholomew,18005,226617,0.017
Barton,29011,25976940,1.68
Bastrop,48021,36201,0.334
Bates,29013,8774740,1.575
Bath,51017,1228874,0.824
Bay,26017,7596840,0.706
