n,i,t,a
Kent,10001,16026,0.031
New Castle,10003,16516,0.162
Sussex,10005,398,0.0
Alachua,12001,493,0.041
Dade,12025,93424,0.25
Gadsden,12039,5640,0.691
Hamilton,12047,23818,1.117
Hendry,12051,19174,0.895
Holmes,12059,239,0.01
Jackson,12063,82942,0.293
Madison,12079,751,0.012
Okaloosa,12091,450,0.046
Orange,12095,7150,0.11
Palm Beach,12099,354864,0.153
Santa Rosa,12113,39,0.001
Walton,12131,769,0.136
Washington,12133,181,0.007
Appling,13001,56314,0.329
Atkinson,13003,1473,0.065
Bacon,13005,56581,0.661
Baker,13007,6666,0.107
Bartow,13015,8232,0.85
Ben Hill,13017,1958,0.058
Berrien,13019,26750,0.209
Bleckley,13023,1595,0.188
Brooks,13027,8151,0.097
Bulloch,13031,53011,0.17
Burke,13033,11873,0.495
Calhoun,13037,2693,0.042
Candler,13043,6529,0.32
Coffee,13069,54933,1.343
Colquitt,13071,9057,0.773
Cook,13075,2113,0.069
Crisp,13081,16935,0.394
Decatur,13087,40009,0.211
Dodge,13091,25335,0.66
Dooly,13093,1276,0.077
Dougherty,13095,3831,0.223
Early,13099,24925,0.232
Effingham,13103,1770,0.013
Emanuel,13107,75915,0.265
Evans,13109,546,0.008
Grady,13131,12164,0.064
Houston,13153,29462,0.391
Irwin,13155,19319,0.185
Jeff Davis,13161,6863,1.139
Jefferson,13163,1501,0.017
Jenkins,13165,63099,0.559
Lanier,13173,6873,0.215
Laurens,13175,15540,0.092
Lee,13177,12686,0.244
Lowndes,13185,22935,0.246
Macon,13193,3252,0.059
Marion,13197,1192,0.033
Miller,13201,15374,0.158
Mitchell,13205,7990,0.127
Montgomery,13209,2241,0.033
Peach,13225,685,0.318
Pierce,13229,2741,0.029
Pulaski,13235,3484,0.314
Randolph,13243,4730,0.108
Screven,13251,107516,0.192
Seminole,13253,21816,0.125
Stewart,13259,9511,0.313
Sumter,13261,1720,0.303
Tattnall,13267,1357,0.021
Taylor,13269,1762,0.63
Telfair,13271,5117,0.309
Terrell,13273,33726,0.177
Thomas,13275,1991,0.224
Tift,13277,18185,0.41
Toombs,13279,18243,0.229
Treutlen,13283,283,0.083
Turner,13287,3286,0.304
Twiggs,13289,1916,0.093
Washington,13303,3932,0.046
Wayne,13305,12099,0.03
Webster,13307,4680,0.076
Wilcox,13315,2767,0.213
Worth,13321,28583,1.298
Gooding,16047,816,0.003
Lincoln,16063,13173,1.581
Twin Falls,16083,10370,0.009
Adams,17001,425933,0.354
Alexander,17003,339403,1.223
Bond,17005,343896,0.25
Boone,17007,84726,0.236
Brown,17009,322190,0.757
Bureau,17011,221183,0.225
Calhoun,17013,56787,0.574
Carroll,17015,37998,0.189
Cass,17017,276873,0.443
Champaign,17019,169938,0.024
Christian,17021,351066,0.603
Clark,17023,974869,0.695
Clay,17025,481350,0.331
Clinton,17027,372600,1.065
Coles,17029,287551,0.499
Cook,17031,151790,4.086
Crawford,17033,490445,0.775
Cumberland,17035,376459,0.471
De Kalb,17037,188422,0.56
De Witt,17039,16241,0.026
Douglas,17041,259157,0.113
Edgar,17045,168897,0.245
Edwards,17047,29248,0.087
Effingham,17049,248777,0.21
Fayette,17051,302079,0.781
Ford,17053,297220,0.028
Franklin,17055,70912,0.219
Fulton,17057,432871,0.328
Gallatin,17059,274117,0.334
Greene,17061,173862,0.147
Grundy,17063,641151,0.642
Hamilton,17065,407188,0.293
Hancock,17067,483981,0.176
Henderson,17071,145783,0.049
Henry,17073,527805,0.11
Iroquois,17075,840210,0.031
Jackson,17077,60463,0.527
Jasper,17079,855639,1.545
Jefferson,17081,175239,0.655
Jersey,17083,67877,0.199
Jo Daviess,17085,156806,0.148
Johnson,17087,138318,1.006
Kane,17089,110688,0.319
Kankakee,17091,831554,0.128
Kendall,17093,210469,0.338
Knox,17095,204876,0.239
Lake,17097,324656,2.718
La Salle,17099,426310,0.129
Lawrence,17101,374297,0.368
Lee,17103,185895,0.087
Livingston,17105,1035145,0.08
Logan,17107,77274,0.028
McDonough,17109,183230,0.084
McHenry,17111,310692,0.34
McLean,17113,171455,0.203
Macon,17115,54935,0.034
Macoupin,17117,485399,0.297
Madison,17119,304915,0.988
Marion,17121,409639,0.49
Marshall,17123,83441,0.044
Mason,17125,285441,0.144
Massac,17127,137387,0.815
Menard,17129,168018,0.677
Mercer,17131,313460,0.104
Monroe,17133,105215,0.333
Montgomery,17135,538489,0.336
Morgan,17137,41381,0.368
Moultrie,17139,153589,0.26
Ogle,17141,348883,0.148
Peoria,17143,40910,0.032
Perry,17145,48640,0.443
Piatt,17147,110999,0.05
Pike,17149,47997,0.093
Pope,17151,97242,0.716
Pulaski,17153,43785,0.374
Putnam,17155,31468,0.052
Randolph,17157,156942,1.379
Richland,17159,475120,0.603
Rock Island,17161,263209,0.938
St Clair,17163,22659,0.102
Saline,17165,108194,0.313
Sangamon,17167,205148,0.248
Schuyler,17169,351078,0.891
Scott,17171,31032,0.108
Shelby,17173,863995,0.888
Stark,17175,27363,0.015
Stephenson,17177,582631,0.934
Tazewell,17179,34399,0.009
Union,17181,27912,0.12
Vermilion,17183,444836,0.055
Wabash,17185,52474,0.168
Warren,17187,55003,0.009
Washington,17189,89636,0.228
Wayne,17191,1279552,0.585
White,17193,217412,0.298
Whiteside,17195,582824,0.488
Will,17197,1900202,0.978
Williamson,17199,120944,0.301
Winnebago,17201,560147,0.796
Woodford,17203,23433,0.005
Adams,18001,266184,1.856
Allen,18003,131223,0.685
Bartholomew,18005,512866,0.632
Benton,18007,116210,0.104
Blackford,18009,176748,1.011
