n,i,t,a
Acadia,22001,24620,0.856
Accomack,51001,179850,0.159
Adair,40001,3237816,0.321
Adams,8001,36818832,0.177
Addison,50001,708512,2.231
Aiken,45003,117064,1.338
Aitkin,27001,225671,1.843
Alachua,12001,3040,2.566
Alamance,37001,58070,0.5
Alcorn,28003,437177,1.673
Alexander,37003,1404322,0.784
Alfalfa,40003,121419,0.548
Allamakee,19005,291378,0.196
Allegan,26005,1352432,0.6
Allen,39003,12876540,0.268
Allendale,45005,306281,0.348
Alpena,26007,132548,0.997
Amelia,51007,28040,0.02
Anderson,48001,1700410,0.277
Andrew,29003,337053,0.103
Anoka,27003,61808,0.038
Anson,37007,515274,0.687
Antelope,31003,714480,0.04
Antrim,26009,54993,1.738
Appanoose,19007,1100517,0.605
Appling,13001,150490,0.919
Appomattox,51011,16630,0.179
Arapahoe,8005,71140,0.131
Arenac,26011,136213,0.715
Armstrong,48011,22612,0.033
Aroostook,23003,10268,2.917
Ashland,55003,491458,0.39
Ashley,5003,436273,0.195
Ashtabula,39007,136414,0.098
Atascosa,48013,177306,1.166
Atchison,29005,386206,0.013
Athens,39009,16920,0.565
Atkinson,13003,142127,0.591
Atlantic,34001,7498,0.412
Audrain,29007,1787565,0.406
Audubon,19009,57438,0.013
Auglaize,39011,127014,0.027
Augusta,51015,281414,0.524
Aurora,46003,1111826,0.159
Austin,48015,256910,1.036
Autauga,1001,34964,0.758
Avoyelles,22009,345254,0.428
Baca,8009,1317927,0.244
Bacon,13005,138428,1.262
Bailey,48017,9119,0.018
Baker,41001,3913248,2.456
Baldwin,13009,207406,0.559
Ballard,21007,368790,0.374
Baltimore,24005,130824,0.115
Bamberg,45009,65271,0.499
Banner,31007,201498,0.339
Barber,20007,15375,0.087
Barbour,54001,252206,0.737
Barnes,38003,8147927,0.488
Barnwell,45011,86056,0.644
Barren,21009,13330,0.032
Barron,55005,2045122,0.482
Barry,29009,637418,0.21
Bartholomew,18005,319142,0.49
Barton,29011,1014450,0.26
Bastrop,48021,95785,1.44
Bates,29013,362999,0.111
Bath,51017,39954,0.204
Bay,26017,896860,0.212
Beadle,46005,3573857,0.221
Beaufort,45013,1412186,0.083
Beaver,49001,112353,0.06
Becker,27005,2807543,0.862
Bedford,51515,2263036,0.386
Bee,48025,3242275,1.687
Bell,48027,6412560,0.834
Beltrami,27007,75473,0.593
Ben Hill,13017,163615,0.662
Bennett,46007,3846,0.006
Benson,38005,4366028,1.268
Bent,8011,1392447,2.322
Benton,53005,8940546,0.264
Berkeley,54003,101942,0.127
Berks,42011,51782,0.031
Berrien,26021,1803802,0.361
Bertie,37015,305301,0.285
Bexar,48029,632380,1.373
Big Horn,56003,122448,0.179
Big Stone,27011,275583,0.073
Black Hawk,19013,1840998,0.327
Blackford,18009,352362,0.268
Bladen,37017,476234,0.553
Blaine,40011,78116,0.717
Blair,42013,6341,0.004
Bleckley,13023,8252,0.048
Bledsoe,47007,8376,0.313
Blue Earth,27013,105234,0.047
Bolivar,28011,2377330,0.384
Bollinger,29017,77591,0.239
Bon Homme,46009,977001,0.157
Bond,17005,2492290,0.883
Boone,54005,33203816,0.118
Bosque,48035,59153,2.1
Bottineau,38009,60943,0.274
Bourbon,21017,645210,0.789
Bowie,48037,1163337,1.649
Box Butte,31013,513001,0.192
Boyd,31015,50322,0.033
Bradford,42015,320628,0.492
Branch,26023,1480005,0.418
Brantley,13025,20549,0.257
Brazoria,48039,85541,0.359
Brazos,48041,633626,3.329
Breckinridge,21027,324004,0.282
Bremer,19017,337402,0.065
Bristol,51520,71007,1.122
Brookings,46011,454595,0.07
Brooks,48047,29568,0.178
Brown,55009,247603365,0.292
Brule,46015,127765,0.052
Brunswick,51025,380778,0.174
Bryan,40013,879746,1.306
Buchanan,51027,7322382,0.142
Bucks,42017,404273,0.942
Buena Vista,51530,80604,0.021
Buffalo,55011,9178959,0.183
Bullitt,21029,10278,1.111
Bulloch,13031,560468,0.337
Bullock,1011,46734,0.28
Buncombe,37021,3931,0.36
Bureau,17011,1858374,0.112
Burke,38013,987942,0.293
Burleigh,38015,501634,0.237
Burleson,48051,1063307,1.735
Burlington,34005,34780,0.18
Burnett,55013,160597,0.173
Burt,31021,725558,0.208
Butler,42019,11660808,0.105
Butte,6007,1547523,0.538
Cabarrus,37025,5534,0.02
Cache,49005,18551,0.408
Caddo,40015,2808884,1.157
Caldwell,48055,7664785,0.842
Calhoun,54013,77671044,0.464
Callaway,29027,285822,0.247
Calloway,21035,236540,0.412
Calumet,55015,654648,0.401
Cambria,42021,66699,0.234
Camden,37029,8400,0.001
Cameron,48061,1358934,0.418
Campbell,56005,1485350,0.071
Canadian,40017,60472,1.429
Candler,13043,61398,0.141
Cannon,47015,67268,0.188
Cape Girardeau,29031,196561,0.284
Carbon,56007,62920,0.144
Carlisle,21039,389760,0.874
Caroline,51033,575134,0.093
Carroll,51035,45260267,0.207
Carson,48065,4915,0.025
Carter,47019,297020,0.76
Carteret,37031,251925,0.511
Carver,27019,80387,0.047
Casey,21045,2828,0.008
Cass,48067,142467615,0.341
Cassia,16031,12863,0.08
Castro,48069,50319,0.027
Caswell,37033,60554,1.678
Catahoula,22025,1578198,0.977
Cattaraugus,36009,6401,0.059
Cavalier,38019,99333,1.238
Cayuga,36011,1998,0.52
Cecil,24015,5215,0.003
Cedar,31027,4726791,0.198
Centre,42027,15689,0.029
Cerro Gordo,19033,1236379,0.048
Chambers,48071,8134,0.246
Champaign,39021,1129524,0.011
Chariton,29041,747892,0.251
Charles,24017,91981,0.214
Charles Mix,46023,110859,0.039
Charlotte,51037,89162,0.528
Chase,31029,21941096,1.003
Chatham,37037,24840,0.154
Chautauqua,36013,221222,0.784
Chenango,36017,22815,0.457
Cherokee,48073,11459784,0.27
Cherry,31031,863860,0.784
Chester,47023,275259,0.418
Chesterfield,51041,41246,0.151
Cheyenne,8017,6285936,0.312
Chickasaw,28017,6121392,0.898
Chicot,5017,849482,0.452
Chilton,1021,19640,1.107
Chippewa,55017,5782995,0.194
Chisago,27025,367452,0.328
Chittenden,50007,209509,2.727
Chowan,37041,30322,0.306
Christian,29043,3497898,0.163
Cimarron,40025,147800,0.157
Clare,26035,250660,1.378
Clarendon,45027,82106,0.431
Clarion,42031,21170,0.087
Clark,55019,105452040,0.445
Clarke,51043,10270850,0.964
Clay,54015,153155628,0.515
Clayton,19043,3401628,0.267
Clearfield,42033,34605,0.483
Clearwater,27029,874184,1.551
Clermont,39025,52183,0.337
Cleveland,5025,117993,0.81
Clinton,42035,44221302,0.268
Cloud,20029,6434,0.003
Coahoma,28027,364627,0.151
Cochise,4003,49663,0.156
Cocke,47029,18022,0.22
Codington,46029,1674793,0.266
Coffee,47031,3814305,0.475
Coffey,20031,123923,0.048
Colbert,1033,183351,0.472
Cole,29051,26465,0.308
Coles,17029,572874,0.274
