n,i,t,a
Kent,10001,35624,0.007
New Castle,10003,7648,0.06
Sussex,10005,74976,0.026
Calhoun,12013,1118,0.033
Escambia,12033,10118,0.158
Gadsden,12039,45506,0.629
Hamilton,12047,9394,0.194
Holmes,12059,9845,0.117
Jackson,12063,161116,0.4
Jefferson,12065,3118,0.14
Levy,12075,94013,0.495
Madison,12079,28123,0.077
Okaloosa,12091,2350,0.131
Palm Beach,12099,98681,0.122
Suwannee,12121,15923,0.266
Walton,12131,1537,0.201
Washington,12133,14551,0.252
Appling,13001,49036,0.397
Atkinson,13003,59838,0.322
Bacon,13005,9022,0.048
Baker,13007,460271,0.34
Ben Hill,13017,10362,0.38
Berrien,13019,193,0.002
Bleckley,13023,17337,0.072
Brantley,13025,35094,0.934
Brooks,13027,3054,0.051
Bulloch,13031,130198,0.396
Burke,13033,40891,0.042
Calhoun,13037,62748,1.198
Candler,13043,17397,0.68
Clay,13061,41202,0.154
Clinch,13065,12574,0.958
Coffee,13069,47864,0.292
Cook,13075,10875,0.33
Crisp,13081,4428,0.128
Decatur,13087,617960,0.297
Dodge,13091,31449,0.149
Early,13099,13441,0.025
Effingham,13103,51153,0.407
Emanuel,13107,73977,0.792
Evans,13109,6044,0.028
Grady,13131,74773,0.136
Irwin,13155,19205,0.109
Jeff Davis,13161,18394,0.089
Jefferson,13163,4391,0.043
Jenkins,13165,41961,0.279
Johnson,13167,26514,0.406
Lanier,13173,1123,0.047
Laurens,13175,21823,0.309
Lee,13177,87661,0.147
Lowndes,13185,18636,0.754
Miller,13201,297189,0.175
Mitchell,13205,256574,0.939
Pierce,13229,35794,0.271
Pulaski,13235,1618,0.163
Randolph,13243,22541,0.047
Schley,13249,4836,0.551
Screven,13251,30472,0.187
Seminole,13253,13815,0.039
Stewart,13259,3944,0.063
Sumter,13261,76366,0.067
Tattnall,13267,2748,0.186
Telfair,13271,350889,0.862
Terrell,13273,168172,0.206
Thomas,13275,4588,0.018
Tift,13277,4934,0.268
Toombs,13279,2781,0.141
Treutlen,13283,29022,0.113
Twiggs,13289,1946,0.076
Ware,13299,102441,0.381
Washington,13303,27920,0.559
Wayne,13305,53955,0.162
Webster,13307,81228,0.315
Wheeler,13309,5677,0.036
Worth,13321,154887,0.438
Ada,16001,417020,4.883
Canyon,16027,48174,0.916
Elmore,16039,154625,1.185
Franklin,16041,12966,0.367
Gooding,16047,41592,0.359
Jefferson,16051,18094,0.837
Lincoln,16063,855030,2.053
Owyhee,16073,1219139,1.613
Twin Falls,16083,2414645,1.668
Adams,17001,4627624,0.461
Alexander,17003,803386,0.885
Bond,17005,2862383,0.681
Boone,17007,55488,0.012
Brown,17009,1049026,0.261
Bureau,17011,990900,0.477
Calhoun,17013,2202562,0.681
Carroll,17015,222175,0.025
Cass,17017,680167,0.36
Champaign,17019,1888290,0.09
