n,i,t,a
Accomack,51001,3533063,3.058
Adair,40001,16143432,1.214
Adams,8001,222339528,0.573
Addison,50001,58081,0.109
Aiken,45003,182315,1.306
Aitkin,27001,62156,0.113
Alamance,37001,61725,0.595
Alcorn,28003,312070,0.767
Alexander,37003,2349394,1.224
Allamakee,19005,89975,0.048
Allegan,26005,953602,1.071
Allen,39003,6335755,0.464
Allendale,45005,10156,0.216
Alpena,26007,6109,0.052
Amelia,51007,1318658,2.244
Anderson,48001,5247225,0.549
Andrew,29003,2070297,0.904
Anoka,27003,16582,0.122
Anson,37007,168082,0.848
Antelope,31003,1720140,0.21
Appanoose,19007,7426835,3.363
Appling,13001,46484,0.323
Appomattox,51011,125502,1.029
Arapahoe,8005,21115,0.315
Arenac,26011,19099,0.103
Armstrong,48011,74086,0.037
Ashland,55003,59114,0.014
Ashley,5003,30143,0.009
Ashtabula,39007,520313,1.151
Atchison,29005,12159586,0.465
Atkinson,13003,2304,0.01
Atlantic,34001,21129,1.836
Audrain,29007,2206005,0.576
Audubon,19009,1073741,0.175
Auglaize,39011,149426,0.024
Augusta,51015,373351,1.283
Aurora,46003,2631807,0.267
Austin,48015,7230,0.134
Autauga,1001,5783,0.421
Avoyelles,22009,159371,0.171
Baca,8009,852169,0.055
Bacon,13005,2177,0.016
Bailey,48017,874,0.002
Baker,41001,735888,0.414
Ballard,21007,497378,0.921
Baltimore,24005,279335,0.398
Bamberg,45009,59510,0.342
Banner,31007,110948,0.197
Barbour,54001,71254,0.728
Barnes,38003,7441876,0.541
Barnwell,45011,24515,0.231
Barren,21009,226634,0.296
Barron,55005,131414,0.023
Barry,29009,513986,0.227
Bartholomew,18005,1976368,1.132
Barton,29011,628106,0.134
Bates,29013,1031993,0.574
Bath,51017,271950,0.815
Bay,26017,566566,0.153
Beadle,46005,15381487,1.208
Beaufort,45013,6713314,0.617
Beaver,49001,97071,0.108
Becker,27005,238339,0.238
Bedford,51515,1157344,0.492
Bee,48025,38631,0.037
Bell,48027,5093640,1.142
Beltrami,27007,45882,0.883
Ben Hill,13017,2904,0.232
Bennett,46007,890501,2.37
Benson,38005,2316290,0.591
