n,i,t,a
Accomack,51001,1473311,1.732
Adair,40001,543340,0.242
Adams,8001,88562280,1.859
Addison,50001,123172,1.66
Aiken,45003,55006,5.642
Aitkin,27001,2714,0.091
Alachua,12001,6153,0.19
Alamance,37001,42385,4.356
Alcorn,28003,138665,0.978
Alexander,37003,666522,1.871
Allamakee,19005,67119,0.149
Allegan,26005,231088,0.683
Allegany,36003,2394,0.043
Alleghany,51005,276584,5.125
Allen,39003,13613800,2.756
Allendale,45005,207340,2.257
Alpena,26007,10495,0.211
Amelia,51007,348863,3.52
Anderson,48001,887910,0.765
Andrew,29003,472224,0.475
Anoka,27003,7751,0.092
Anson,37007,219236,2.852
Antelope,31003,2269285,1.991
Antrim,26009,900,0.048
Appanoose,19007,252598,0.275
Appling,13001,44998,0.492
Appomattox,51011,76300,3.352
Arapahoe,8005,158165,6.87
Arenac,26011,48897,0.487
Arkansas,5001,7224,0.978
Armstrong,48011,1200906,2.094
Ashland,55003,2101034,4.161
Ashley,5003,269837,1.024
Ashtabula,39007,372217,1.891
Atascosa,48013,24682,0.706
Atchison,29005,19552812,2.774
Athens,39009,23417,1.218
Atkinson,13003,8889,0.321
Atlantic,34001,5431,1.192
Audrain,29007,2625133,1.784
Audubon,19009,440636,0.184
Auglaize,39011,3745678,9.867
Augusta,51015,482457,3.113
Aurora,46003,7647198,5.287
Austin,48015,16002,0.429
Autauga,1001,8060,0.695
Avoyelles,22009,431250,2.029
Baca,8009,1780580,1.938
Bacon,13005,5529,0.074
Bailey,48017,972,0.006
Baker,41001,276825,0.885
Baldwin,13009,13392,0.121
Ballard,21007,127580,1.944
Baltimore,24005,317302,0.839
Bamberg,45009,196878,2.516
Banner,31007,540519,3.219
Barber,20007,62122,0.956
Barbour,54001,26380,0.956
Barnes,38003,438639,0.955
Barnwell,45011,108332,1.79
Barren,21009,26677,0.625
Barron,55005,137785,0.079
Barry,29009,412784,0.858
Bartholomew,18005,1598463,1.844
Barton,29011,1615110,1.706
Bastrop,48021,182874,3.155
Bates,29013,122226,0.339
Bath,51017,29206,0.903
Bay,26017,84928,0.29
Bayfield,55007,23821,0.303
Beadle,46005,12031821,4.687
Beaufort,45013,1543036,0.75
Beauregard,22011,19326,2.83
Becker,27005,23227,0.074
Bedford,51515,5940404,2.56
Bee,48025,2457887,3.832
Bell,48027,2035622,0.894
Beltrami,27007,20193,0.21
Ben Hill,13017,8299,0.372
Bennett,46007,596354,5.203
Benson,38005,178743,0.415
Bent,8011,1597331,7.674
Benton,53005,4477815,0.308
Berkeley,54003,128290,0.696
Berks,42011,3793955,8.364
Berrien,26021,358292,0.673
Bertie,37015,214013,1.823
Bexar,48029,133353,0.341
Big Horn,56003,259900,1.108
Big Stone,27011,114564,0.056
Billings,38007,3566,0.655
Black Hawk,19013,1347,0.0
Blackford,18009,957964,2.411
Bladen,37017,269243,0.866
Blaine,40011,3120,0.03
Blair,42013,1912778,5.849
Bleckley,13023,3094,0.142
Blount,47009,17488,0.32
Blue Earth,27013,59958,0.022
Bolivar,28011,154763,0.107
Bollinger,29017,44013,0.565
Bon Homme,46009,5786373,5.035
Bond,17005,1494597,1.325
Boone,54005,29057400,0.695
Bosque,48035,4684,0.698
Bottineau,38009,2329,0.015
Boulder,8013,117929,8.121
Bourbon,21017,260452,1.385
Bowie,48037,337015,1.196
Bowman,38011,63659,2.0
Box Butte,31013,652256,1.445
Box Elder,49003,916,0.147
Boyd,31015,6308042,7.83
Boyle,21021,6538,2.15
Bracken,21023,22204,2.02
Bradford,42015,960190,1.645
Branch,26023,247755,0.722
Brantley,13025,19985,3.58
Brazoria,48039,165923,0.375
Brazos,48041,551333,2.138
Breckinridge,21027,200370,1.374
Bremer,19017,25210,0.022
Bristol,51520,43230,1.435
Brookings,46011,854504,0.379
Brooks,48047,38300,0.471
Broome,36007,18184,2.268
Brown,55009,119182689,1.017
Brule,46015,7317124,8.46
Brunswick,51025,464596,1.3
Bryan,40013,29792,0.555
Buchanan,51027,1554126,0.394
Bucks,42017,629359,5.519
Buena Vista,51530,351972,0.073
Buffalo,55011,17872389,2.399
Bullitt,21029,20957,1.485
Bulloch,13031,442124,1.681
Buncombe,37021,6047,0.79
Bureau,17011,543009,0.107
Burke,38013,494766,1.001
Burleigh,38015,365493,1.825
Burleson,48051,274205,2.616
Burlington,34005,66456,1.577
Burnett,55013,34956,0.47
Burt,31021,2479494,1.181
Butler,42019,65001440,1.85
Butte,6007,227784,1.16
Caddo,40015,34280,0.429
Caldwell,48055,5128150,1.382
Calhoun,54013,19708931,0.976
Callaway,29027,680856,1.602
Calloway,21035,85965,0.773
Calumet,55015,187490,1.28
Cambria,42021,477308,5.783
Camden,37029,564140,0.776
Cameron,48061,1024404,1.022
Campbell,56005,4135245,1.862
Canadian,40017,2689,0.079
Candler,13043,196862,1.801
Cannon,47015,16495,0.426
Cape Girardeau,29031,130147,1.963
Carbon,56007,1143992,4.613
Carlisle,21039,180300,1.101
Caroline,51033,4489720,4.241
Carroll,51035,32632548,0.781
Carson,48065,3213,0.01
Carter,47019,9795,0.528
Carteret,37031,1877,0.028
Carver,27019,19766,0.031
Cass,48067,114851277,1.016
Castro,48069,23454,0.058
Caswell,37033,50780,3.612
Catahoula,22025,3923004,2.198
Cattaraugus,36009,16880,0.124
Cayuga,36011,126088,1.695
Cecil,24015,509412,2.231
Cedar,31027,13590594,0.829
Centre,42027,422515,4.425
Cerro Gordo,19033,10949,0.005
Chambers,48071,951548,1.516
Champaign,39021,9872848,2.987
Chariton,29041,307474,0.525
Charles,24017,303765,3.528
Charles Mix,46023,11256208,6.021
Charlotte,51037,207758,1.248
Chase,31029,4841830,1.385
Chatham,37037,52490,1.672
Chautauqua,36013,106694,0.668
Cheatham,47021,3726,0.554
Chemung,36015,23558,1.24
Chenango,36017,20351,2.974
