n,i,t,a
Cherokee,48073,3248848,0.235
Cherry,31031,177289,0.466
Chester,47023,3181812,2.256
Chesterfield,51041,218602,2.381
Cheyenne,8017,37012395,4.826
Chickasaw,28017,38020,0.128
Chicot,5017,18412,0.155
Chippewa,55017,1156077,0.127
Chisago,27025,31875,0.097
Chittenden,50007,70328,2.882
Chowan,37041,12126,1.028
Christian,29043,8825043,0.611
Cimarron,40025,307747,0.763
Clare,26035,61825,0.368
Clarendon,45027,2583883,3.606
Clarion,42031,61844,0.664
Clark,55019,76560948,1.518
Clarke,51043,616275,0.158
Clay,54015,157454442,1.056
Clayton,19043,50340,0.059
Clearfield,42033,156368,3.832
Clearwater,27029,10444,0.192
Clermont,39025,330122,3.318
Cleveland,5025,109974,1.68
Clinton,42035,29085570,0.638
Cloud,20029,492817,2.761
Coahoma,28027,213522,0.737
Cocke,47029,25807,3.017
Codington,46029,519391,0.521
Coffee,47031,672975,0.913
Coffey,20031,150379,0.868
Colbert,1033,9299,0.166
Cole,29051,15926,0.391
Coles,17029,1221335,0.872
Colfax,35007,7590804,2.893
Colleton,45029,216034,2.666
Collin,48085,124170,0.453
Colorado,8000,521484,1.06
Colquitt,13071,11361,2.416
Columbia,55021,17896232,2.48
Columbiana,39029,758364,3.802
Columbus,37047,1312680,1.742
Comal,48091,50524,1.421
Comanche,48093,119811,0.352
Concordia,22029,1668836,1.972
Conecuh,1035,74160,1.266
Cook,27031,724440,1.812
Cooper,29053,950357,0.807
Corson,46031,288829,1.897
Cortland,36023,8111,1.127
Coryell,48099,195586,1.38
Coshocton,39031,537826,2.925
Cotton,40033,29397,0.131
Cottonwood,27033,461475,0.142
Covington,51580,125100,2.293
Cowley,20035,14674,0.296
Craighead,5031,24612,1.028
Craven,37049,172239,1.794
Crawford,55023,41108617,1.559
Crenshaw,1041,24894,2.189
Crisp,13081,4179,0.535
Crittenden,5035,1092056,2.525
Crockett,48105,16782,1.091
Cross,5037,87744,0.771
Crow Wing,27035,10219,0.251
Culpeper,51047,147051,1.997
Cumberland,51049,25325544,1.88
Cuming,31039,3267388,1.216
Currituck,37053,22553,0.731
Custer,8027,56004972,1.717
Dade,29057,39870,0.684
Dakota,31043,948624,0.13
Dale,1045,74463,1.239
Dallam,48111,2058694,1.113
Dallas,5039,1042710,0.158
Dane,55025,1114262,0.31
Darke,39037,6994483,9.789
Darlington,45031,255029,1.601
Dauphin,42043,1323968,6.01
Davidson,47037,252260,2.381
Davie,37059,165007,2.486
Daviess,29061,19359957,1.95
Davis,49011,632274,0.348
Davison,46035,6386241,4.895
Dawes,31045,112823,1.84
Dawson,48115,11661868,0.487
Day,46037,419616,0.369
De Kalb,29063,6220028,0.808
De Soto,22031,23746,0.092
De Witt,48123,2769770,1.306
Deaf Smith,48117,35628,0.042
Dearborn,18029,330971,3.595
Decatur,47039,45122320,2.516
Defiance,39039,178414,0.574
Delaware,42045,16207191,1.44
Delta,8029,400926,0.744
Denton,48121,14952,0.028
Des Moines,19057,111609,0.111
Deuel,46039,1281488,1.286
Dewey,46041,486666,2.489
Dickey,38021,3003176,1.239
Dickinson,26043,4479561,2.648
Dickson,47043,9296,1.735
Dillon,45033,171014,1.601
Dinwiddie,51053,237329,2.509
Dixon,31051,941902,1.056
Dodge,55027,10598876,0.569
Doniphan,20043,583892,0.658
Dooly,13093,2047,0.463
Door,55029,157975,0.953
Dorchester,45035,1616628,3.776
Dougherty,13095,3010,0.444
Douglas,8035,80889960,1.433
Dubois,18037,1962039,3.803
Dubuque,19061,52006,0.068
Dundy,31057,3360944,3.979
Dunklin,29069,23915,0.753
Dunn,55033,814442,0.21
Duplin,37061,188390,0.607
Dutchess,36027,28835,0.487
Duval,48131,279934,0.892
Dyer,47045,274840,1.249
Early,13099,82640,0.7
East Carroll,22035,261888,0.543
Eaton,26045,176965,0.151
Eau Claire,55035,65226,0.096
Eddy,38027,57600,0.188
Edgar,17045,800408,0.384
Edgecombe,37065,405594,1.933
Edmonson,21061,3044,0.364
Edmunds,46045,970606,0.564
Edwards,48137,5542335,1.53
Effingham,17049,3571916,2.041
Elbert,8039,266820,5.932
Elk,42047,9416,0.131
Elkhart,18039,54451,0.682
Ellis,48139,739881,1.991
Ellsworth,20053,30769,0.653
Elmore,16039,434,0.156
Emanuel,13107,79535,2.14
Emmet,26047,102754,0.071
Emmons,38029,1061876,2.438
Erie,42049,3629127,3.428
Escambia,12033,37120,0.305
Essex,51057,3731270,1.151
Evangeline,22039,1608,0.043
Evans,13109,26799,1.365
Fairfield,9001,2012160,1.695
Fall River,46047,16388,0.375
Falls,48145,364191,0.657
Fannin,48147,365112,1.011
Faribault,27043,289505,0.067
Faulk,46049,758231,1.272
Fauquier,51061,404154,2.881
Fayette,54019,52071085,1.41
Fillmore,31059,8443612,0.843
Finney,20055,1462318,1.605
Fleming,21069,104987,2.15
Florence,55037,1245076,2.864
Floyd,51063,565482,0.313
Ford,20057,4173544,0.728
Forsyth,37067,10932,0.207
Fort Bend,48157,338766,1.56
Foster,38031,74246,0.254
Fountain,18045,369448,0.213
Franklin,53021,384584252,2.566
Frederick,51069,3265124,1.304
Freeborn,27047,21744,0.004
Fremont,8043,21445848,1.933
Fresno,6019,6703,0.072
Frio,48163,20539,1.912
Frontier,31063,6707851,7.452
Fulton,5049,24682112,1.407
Furnas,31065,7072661,6.697
Gadsden,12039,6494,0.53
Gage,31067,6628457,1.785
Gallatin,30031,11384058,3.718
Gallia,39053,20834,0.646
Garden,31069,425126,1.206
Garfield,8045,1394310,1.832
Garvin,40049,13602,0.062
Gasconade,29073,93477,1.366
Gates,37073,76356,1.858
Geary,20061,379004,6.399
Genesee,36037,1142874,1.306
Geneva,1061,70087,1.171
Gentry,29075,1219481,1.886
Georgetown,45043,99382,3.054
Gibson,47053,6418156,2.305
Gilchrist,12041,19433,0.865
Giles,51071,19406,0.235
Gillespie,48171,101075,4.896
Gladwin,26051,17791,0.174
Gloucester,51073,269224,4.281
Golden Valley,38033,13724,0.22
Goliad,48175,589097,4.917
Gonzales,48177,622387,5.647
Goodhue,27049,76402,0.036
Gooding,16047,880,0.012
Goshen,56015,659185,2.222
Gosper,31073,2600506,1.582
Gove,20063,2682822,6.317
Grady,40051,638006,1.458
Grafton,33009,31555,1.908
Graham,4009,5399559,6.022
Grand Forks,38035,573376,0.566
Grant,55043,68079465,0.884
Granville,37077,9316,2.51
Gratiot,26057,82830,0.291
Graves,21083,121123,0.317
Gray,48179,2610184,1.041
Grayson,51077,271350,0.425
Greeley,31077,11489460,5.273
Green,55045,2322918,1.181
Green Lake,55047,393529,0.731
Greenbrier,54025,658,0.045
Greene,51079,64094646,1.448
Greensville,51081,34551,1.742
Greenup,21089,17523,1.065
Greenwood,45047,39446,0.174
Gregory,46053,4068539,7.909
Grenada,28043,1265,0.042
Griggs,38039,62434,0.382
Grundy,47061,5980400,0.652
Guadalupe,48187,1896344,1.4
Guilford,37081,215036,3.731
Guthrie,19077,362723,0.241
Haakon,46055,512529,2.672
Hale,48189,105510,0.308
Halifax,51083,387190,2.312
Hall,48191,5219628,1.331
Hamilton,48193,70153830,1.188
Hamlin,46057,510703,0.317
Hampden,25013,7815,3.47
Hampshire,54027,74342,1.797
Hampton,51650,619576,2.219
Hancock,54029,48952010,1.943
Hand,46059,6275391,3.566
Hanover,51085,1143465,4.079
Hansford,48195,105704,0.376
Hanson,46061,2817265,1.188
Hardeman,48197,17856,0.108
Hardin,48199,35092236,2.718
Harding,46063,128122,4.59
Hardy,54031,102451,1.005
Harford,24025,367719,2.625
Harlan,31083,8565306,5.411
Harnett,37085,292184,2.708
Harper,40059,135602,0.939
Harris,48201,655962,1.4
Harrison,54033,20089200,1.351
Hart,21099,886,0.029
Hartford,9003,256,0.019
Hartley,48205,408798,0.301
Harvey,20079,120927,0.631
Haskell,48207,3323040,0.891
Hawkins,47073,3255,1.24
Hayes,31085,3514571,3.489
Hays,48209,87031,1.815
Haywood,47075,109062,1.121
Henderson,48213,3100390,0.633
Hendricks,18063,50092,0.167
Hennepin,27053,17951,0.063
Henry,51089,26724570,0.696
Herkimer,36043,29862,3.332
Hertford,37091,248580,2.097
Hettinger,38041,50010,1.208
Hickman,47081,975306,0.99
Hidalgo,48215,863562,0.546
Highland,51091,1283646,2.158
Hill,48217,511148,0.048
Hillsdale,26059,333757,0.733
Hinds,28049,816,0.042
Hitchcock,31087,4082491,5.282
Hodgeman,20083,848442,3.415
Hoke,37093,34101,2.912
Holmes,39075,2320500,1.461
Holt,31089,3846840,0.872
Hopkins,48223,1323832,2.719
Horry,45051,633449,2.181
Houston,48225,782480,0.658
Howard,5061,20165803,0.702
Hubbard,27057,2536,0.015
Hughes,46065,3006514,2.011
Humboldt,6023,211731,0.05
Humphreys,47085,41044,0.02
Hunt,48231,70334,0.966
Hunterdon,34019,146917,3.141
Huntingdon,42061,1985521,5.47
Huntington,18069,3066762,5.66
Huron,39077,3961370,2.291
Hutchinson,48233,17989508,2.056
Hyde,46069,3840154,2.6
Ida,19093,80860,0.01
Independence,5063,98029,0.709
Indiana,42063,1955358,2.423
Ingham,26065,331308,0.537
Ionia,26067,66629,0.215
Iowa,55049,463830,0.1
Iredell,37097,218726,1.95
Iroquois,17075,241447,0.043
Irwin,13155,87726,1.29
Isabella,26073,415032,0.332
Isanti,27059,14823,0.018
Isle of Wight,51093,77657,2.22
Issaquena,28055,135253,0.436
Itawamba,28057,48745,0.814
Jackson,8057,244022376,1.58
Jasper,48241,14012016,0.357
Jay,18075,5321908,6.632
Jeff Davis,48243,65930,0.836
Jefferson,8059,247651716,1.344
Jenkins,13165,116695,0.978
Jennings,18079,1526586,1.942
Jerauld,46073,3802278,5.548
Jerome,16053,101655,0.66
Jersey,17083,638759,1.07
Jessamine,21113,4419,1.388
Jewell,20089,754854,6.052
Jim Wells,48249,1285841,2.168
Jo Daviess,17085,154128,0.281
Johnson,56019,70765980,2.141
Johnston,40069,709810,3.208
Jones,48253,2919870,0.791
Juneau,55057,38544,0.167
Juniata,42067,513294,4.173
Kalamazoo,26077,198485,0.728
Kanabec,27065,41657,0.111
Kandiyohi,27067,36199,0.026
Kane,49025,1620994,2.089
Kankakee,17091,879047,0.221
Karnes,48255,1154598,4.054
Kaufman,48257,16816,0.496
Kearney,31099,2263702,2.858
Kearny,20093,985770,1.178
Keith,31101,2162278,2.245
Kendall,48259,2695662,1.461
Kenosha,55059,351598,1.123
Kent,48263,20834540,2.906
Keokuk,19107,168028,0.119
Kewaunee,55061,396635,0.5
Keya Paha,31103,347789,3.638
Kidder,38043,237876,1.634
Kimball,31105,307561,0.992
King George,51099,210904,2.694
King William,51101,1458457,3.804
King and Queen,51097,1202649,4.65
Kingman,20095,25057,0.378
Kingsbury,46077,5624598,1.476
Kiowa,8061,6490230,2.888
Kit Carson,8063,19922842,5.814
Kittson,27069,10222,0.051
Kleberg,48273,402240,1.78
Knox,48275,119680065,1.793
Koochiching,27071,4073,0.253
Kosciusko,18085,191586,0.439
Kossuth,19109,371928,0.078
La Crosse,55063,18610,0.112
La Moure,38045,2050944,1.366
La Porte,18091,1691506,1.895
La Salle,48283,5873376,0.441
Labette,20099,37273,0.359
Lafayette,55065,7341510,0.38
Lake,8065,24286368,1.191
Lake of the Woods,27077,3388,1.172
Lamar,48277,2000064,0.976
Lamb,48279,15048,0.061
Lancaster,51103,41399460,4.599
Lane,41039,1390472,4.178
Langlade,55067,64421,0.463
Lanier,13173,10575,1.488
Lapeer,26087,88796,0.173
Laramie,56021,148716,0.884
Larimer,8069,286529,2.169
Larue,21123,29091,0.105
Lauderdale,47097,1694823,1.561
Laurens,45059,88830,0.612
Lavaca,48285,197880,3.132
Lawrence,5075,26012305,1.486
Le Flore,40079,12909,0.443
Le Sueur,27079,53060,0.019
Lea,35025,2957,0.1
Leavenworth,20103,759206,3.729
Lebanon,42075,1143930,10.94
Lee,51105,25249032,1.275
Leflore,28083,220801,0.408
Lehigh,42077,1637035,7.263
Lenawee,26091,1248237,1.902
Lenoir,37107,247215,0.723
Lewis,54041,14695079,1.338
Lexington,51678,55692,1.087
Liberty,48291,4788240,0.637
Licking,39089,1907633,2.407
Limestone,48293,55052,0.816
Lincoln,8073,213645456,2.111
Linn,41043,1486096,0.303
Litchfield,9005,3721,1.406
Little River,5081,327072,1.162
Live Oak,48297,834437,2.765
Livingston,36051,17170068,1.001
Logan,8075,118661340,2.587
Lonoke,5085,11374,1.265
Lorain,39093,857864,3.666
Loudoun,51107,15447,0.134
Louisa,51109,397048,0.601
Loup,31115,282290,2.417
Lowndes,28087,134841,0.623
Lubbock,48303,17563,0.456
Lucas,39095,975384,0.866
Lunenburg,51111,21691,3.155
Luzerne,42079,249929,3.269
Lycoming,42081,130968,2.195
Lyman,46085,2147315,5.357
Lyon,32019,5994605,0.562
Macomb,26099,12907,0.043
Macon,47111,11027646,0.672
Macoupin,17117,772797,0.278
Madera,6039,11014,0.204
Madison,51113,109425480,0.728
Mahaska,19123,84266,0.08
Mahnomen,27087,78677,0.076
Mahoning,39099,201239,3.962
Major,40093,1569,0.097
Malheur,41045,2700,0.048
Manitowoc,55071,358679,0.737
Marathon,55073,330023,0.325
Marinette,55075,399558,0.803
Marion,54049,80025681,1.412
Marlboro,45069,65956,2.343
Marquette,55077,728602,0.821
Marshall,54051,110424792,1.074
Martin,48317,6871170,1.92
Mason,54053,3178116,0.979
Massac,17127,302686,2.318
Matagorda,48321,521567,0.881
Maury,47119,42936,1.52
Mayes,40097,1036,1.866
McClain,40087,406,0.023
McCook,46087,555921,0.307
McCracken,21145,197380,1.413
McCulloch,48307,93407,1.11
McCurtain,40089,538286,1.291
McDonough,17109,130957,0.115
McHenry,38049,6907226,1.934
McIntosh,40091,1311879,1.1
McLean,38055,5794149,0.495
McLennan,48309,821284,0.533
McLeod,27085,132210,0.038
McMinn,47107,87098,4.466
McNairy,47109,41550,0.482
McPherson,46089,3251640,2.012
Meade,46093,876096,1.128
Mecklenburg,51117,264440,3.895
Mecosta,26107,72666,0.507
Medina,48325,2085210,2.896
Meeker,27093,39682,0.011
Meigs,47121,31928,0.379
Mellette,46095,198965,2.487
Menard,48327,364264,0.229
Menominee,55078,43244,0.115
Mercer,54055,68904240,3.617
Merrick,31121,983978,0.585
Miami,39109,9446148,2.742
Middlesex,9007,69532,6.393
Midland,48329,81790,0.074
Mifflin,42087,405098,2.351
Milam,48331,842025,0.785
Mille Lacs,27095,36131,0.132
Miller,5091,1323234,0.68
Mills,48333,5323956,1.047
Miner,46097,3214181,2.044
Minnehaha,46099,404695,0.158
Missaukee,26113,7866,0.296
Mississippi,5093,2150307,2.219
Mitchell,48335,2016490,1.226
Mobile,1097,338,0.11
Moniteau,29135,269293,0.98
Monona,19133,1056290,0.292
Monroe,55081,95194067,1.555
Montcalm,26117,116853,0.298
Montgomery,51121,77032602,1.849
Montour,42093,149503,2.713
Montrose,8085,41289,0.8
Moody,46101,359018,0.401
Moore,48341,273276,0.837
Morehouse,22067,4844462,1.153
Morgan,8087,39363852,1.243
Morrill,31123,840276,2.149
Morris,48343,2414076,5.488
Morrison,27097,78298,0.05
Morrow,41049,1776386,2.243
Morton,38059,2028860,2.188
Moultrie,17139,1275822,0.933
Mountrail,38061,3785,0.98
Mower,27099,112367,0.027
Muhlenberg,21177,424633,2.279
Murray,40099,1014897,0.072
Muscatine,19139,22452,0.076
Muskegon,26121,111615,0.763
Muskingum,39119,552112,3.433
Muskogee,40101,7633,0.11
Nance,31125,4656043,2.712
Nash,37127,102075,1.616
Natchitoches,22069,160436,0.51
Navarro,48349,85523,0.22
Nelson,51125,303204,0.381
Nemaha,31127,32665442,5.13
Neosho,20133,60062,0.151
Ness,20135,366646,4.775
New Castle,10003,632977,4.59
New London,9011,18420,1.77
New Madrid,29143,172859,0.46
Newaygo,26123,116130,0.765
Newton,5101,1206324,0.108
Niagara,36063,222344,2.197
Nicholas,54067,29822,0.9
Nicollet,27103,126696,0.1
Noble,40103,1605294,0.877
Nobles,27105,1401598,0.317
Nodaway,29147,2099527,1.198
Norman,27107,337819,1.017
Northampton,51131,5351592,4.332
Northumberland,51133,4532742,3.235
Norton,51720,8722526,11.882
Nottoway,51135,55298,1.764
Nowata,40105,1267,1.085
Noxubee,28103,59104,0.28
Nuckolls,31129,5098538,3.838
Nueces,48355,2125038,3.211
Obion,47131,292675,0.248
Oceana,26127,73261,0.734
Ochiltree,48357,5061,0.029
Oconto,55083,618184,1.296
Ogemaw,26129,44226,0.37
Ogle,17141,1265638,0.352
Ohio,54069,1970116,1.935
Okmulgee,40111,4468,0.203
Oldham,48359,18448,0.778
Oliver,38065,31046,0.341
Olmsted,27109,67561,0.2
Oneida,55085,2484,0.01
Onondaga,36067,58158,0.801
Onslow,37133,16868,0.241
Ontario,36069,492584,3.779
Orange,6059,8766832,3.278
Orangeburg,45075,1451103,3.406
Orleans,50019,1205646,2.832
Osage,40113,2976516,1.322
Osborne,20141,255291,3.032
Osceola,26133,1325475,0.461
Oswego,36075,7172,0.455
Otero,8089,3040504,8.629
Otoe,31131,14178600,8.727
Otsego,36077,42748,0.48
Ottawa,40115,3677256,1.891
Ouachita,5103,70236,0.671
Outagamie,55087,662225,0.582
Owen,21187,918564,1.241
Owyhee,16073,17197,0.42
Ozaukee,55089,17514,0.187
Page,51139,6067206,1.993
Palo Alto,19147,514572,0.198
Pamlico,37137,2023,0.044
Panola,48365,222948,0.381
Park,8093,78774,0.55
Parke,18121,814146,0.917
Parmer,48369,14361,0.045
Pasquotank,37139,175168,0.909
Patrick,51141,10910,2.8
Paulding,39125,3748720,6.899
Pawnee,40117,12485736,2.46
Peach,13225,453,0.11
Pembina,38067,284611,0.671
Pemiscot,29155,497234,1.709
Pender,37141,2531,0.186
Pendleton,54071,91142,0.912
Pennington,46103,1174958,1.751
Peoria,17143,255945,0.167
Pepin,55091,12272,0.027
Perkins,46105,9797682,2.146
Perquimans,37143,47974,0.813
Perry,5105,39657210,3.282
Person,37145,100083,3.466
Pettis,29159,1089531,1.051
Phelps,31137,1862680,0.444
Phillips,8095,25301824,3.22
Piatt,17147,1876052,1.315
Pickaway,39129,1341092,0.847
Pierce,55093,21072255,0.971
Pike,5109,43357780,1.432
Pinal,4021,94944,3.503
Pine,27115,22195,0.169
Pipestone,27117,358271,0.121
Pitt,37147,258164,1.357
Pittsylvania,51143,345940,4.288
Platte,56031,13262160,2.086
Plymouth,25023,174630,0.322
Pocahontas,54075,72016,0.027
Poinsett,5111,21815,0.088
Pointe Coupee,22077,22015,0.091
Polk,55095,46575192,1.387
Pope,5115,893643,1.069
Portage,55097,416634,0.931
Porter,18127,798687,1.468
Posey,18129,1043440,2.139
Pottawatomie,40125,3233630,3.859
Potter,48375,5765670,2.894
Powell,30077,18266,1.003
Poweshiek,19157,5989,0.024
Pratt,20151,420225,1.242
Preble,39135,1781362,3.717
Prentiss,28117,20165,0.4
Presque Isle,26141,30536,0.238
Price,55099,3254,0.075
Prince Edward,51147,106055,1.749
Prince George,51149,193480,3.888
Prowers,8099,2265640,5.995
Pueblo,8101,694158,7.586
Pulaski,5119,2983155,0.476
Putnam,54079,17867916,1.493
Quay,35037,11833,2.032
Queen Anne's,24035,1398096,5.101
Quitman,28119,869000,1.018
Racine,55101,241333,0.71
Ralls,29173,2354195,3.867
Ramsey,38071,1803184,0.442
Randall,48381,21726,0.689
Randolph,54083,36942608,2.855
Ransom,38073,800037,0.564
Rapides,22079,313466,0.78
Rawlins,20153,4043585,5.764
Ray,29177,394894,0.826
Red Lake,27125,15440,0.116
Red River,48387,1760502,1.146
Red Willow,31145,7176259,8.146
Redwood,27127,275979,0.093
Refugio,48391,873496,2.607
Reno,20155,196511,0.413
Rensselaer,36083,132325,2.29
Renville,38075,489054,0.06
Republic,20157,2524587,2.829
Rice,27131,862348,0.388
Richardson,31147,4616793,3.28
Richland,55103,31169803,1.423
Richmond,51760,2843955,2.58
Riley,20161,478207,5.723
Ringgold,19159,142183,0.075
Ripley,29181,5496644,4.617
Roberts,48393,997922,0.338
Robertson,48395,642684,0.264
Robeson,37155,1282708,2.726
Rock,55105,7740519,0.423
Rock Island,17161,243100,0.35
Rockbridge,51163,197851,3.469
Rockingham,51165,1658601,2.555
Rolette,38079,244237,0.853
Rooks,20163,406068,3.393
Roosevelt,35041,488090,1.042
Roseau,27135,245993,1.443
Ross,39141,317950,0.519
Rowan,37159,377826,1.645
Rush,20165,4374704,2.365
Rusk,55107,267408,0.487
Russell,51167,130328,0.523
Rutherford,47149,77876,0.415
Rutland,50021,24635,0.503
Sac,19161,77221,0.012
Saginaw,26145,362686,0.376
Salem,51775,948442,3.858
Saline,5125,37934545,2.549
Saluda,45081,9042,1.22
Sampson,37163,852633,1.391
San Joaquin,6077,7413,0.01
San Patricio,48409,1700400,5.35
Sanborn,46111,3206979,1.681
Sandusky,39143,678571,1.651
Sangamon,17167,829267,0.388
Sanilac,26151,127611,0.299
Santa Rosa,12113,7962,2.001
Saratoga,36091,21049,0.538
Sargent,38081,1856251,1.019
Sarpy,31153,2973789,8.882
Sauk,55111,335581,0.542
Saunders,31155,2950909,0.998
Sawyer,55113,48428,0.384
Schley,13249,7569,1.737
Schoharie,36095,5418,0.066
Schuyler,36097,814296,0.552
Schuylkill,42107,1424906,4.746
Scioto,39145,36006,0.535
Scotland,37165,1312792,1.192
Scott,5127,33670494,1.055
Scotts Bluff,31157,2195506,2.086
Screven,13251,85657,1.869
Sedgwick,8115,3246712,2.084
Seminole,40133,156258,0.731
Seneca,39147,4192300,6.259
Seward,31159,13976158,1.969
Shannon,46113,292002,4.158
Sharkey,28125,163101,1.012
Shawano,55115,436679,0.815
Shawnee,20177,825060,2.467
Sheboygan,55117,84112,0.162
Shelby,48419,86813730,2.019
Shenandoah,51171,315198,1.285
Sherburne,27141,16685,0.076
Sheridan,56033,46039340,4.955
Sherman,48421,46971476,2.723
Shiawassee,26155,584064,0.918
Sibley,27143,194881,0.117
Simpson,28127,398410,0.36
