n,i,t,a
Accomack,51001,439472,0.194
Adair,40001,6951300,0.243
Adams,8001,184137192,0.364
Addison,50001,831729,2.542
Aiken,45003,166692,1.618
Aitkin,27001,508496,1.176
Alachua,12001,12116,0.137
Alamance,37001,207801,0.84
Alcorn,28003,369518,1.544
Alexander,37003,4931794,2.287
Alfalfa,40003,1272920,4.302
Allamakee,19005,145899,0.093
Allegan,26005,659812,0.163
Allegany,36003,427912,0.689
Allen,39003,64529565,1.23
Allendale,45005,1321635,1.866
Alpena,26007,173334,0.794
Amelia,51007,12183,0.005
Anderson,48001,49335695,2.036
Andrew,29003,794257,0.487
Anoka,27003,464207,0.314
Anson,37007,80447,0.111
Antelope,31003,2984992,0.22
Antrim,26009,58365,0.689
Appanoose,19007,3348601,0.724
Appling,13001,53052,0.472
Appomattox,51011,6480,0.084
Arapahoe,8005,757884,0.883
Arenac,26011,45962,0.123
Arkansas,5001,81846,1.077
Armstrong,48011,2209240,2.991
Ashland,55003,1736166,0.188
Ashley,5003,120516,0.059
Ashtabula,39007,1378369,0.903
Atascosa,48013,263888,1.54
Atchison,29005,32635372,1.738
Atkinson,13003,93608,0.485
Audrain,29007,2269526,0.242
Audubon,19009,409921,0.019
Auglaize,39011,1353504,0.2
Augusta,51015,249336,0.147
Aurora,46003,2384215,0.238
Austin,48015,1093213,4.947
Autauga,1001,4807,0.028
Avoyelles,22009,196400,0.652
Baca,8009,12600888,0.865
Bacon,13005,367792,1.831
Bailey,48017,1212782,1.865
Baker,41001,1597866,0.191
Baldwin,13009,1005768,2.077
Ballard,21007,956014,0.465
Baltimore,24005,413638,0.449
Bamberg,45009,501258,1.671
Banner,31007,564851,1.079
Barber,20007,1027811,7.697
Barbour,54001,514862,1.655
Barnes,38003,24463784,1.051
Barnwell,45011,245690,1.111
Barren,21009,355809,0.428
Barron,55005,104252,0.01
Barry,29009,10714072,2.371
Bartholomew,18005,5255885,1.069
Barton,29011,43352102,3.281
Bastrop,48021,293878,4.006
Bates,29013,13881381,3.431
Bath,51017,239430,0.576
Bay,26017,373456,0.1
Bayfield,55007,143961,1.418
Beadle,46005,13306916,0.65
Beaufort,45013,22214134,3.052
Beaver,49001,3644391,2.308
Becker,27005,384644,0.164
Bedford,51515,8791820,0.549
Bee,48025,1062657,0.751
Bell,48027,14561716,3.134
Beltrami,27007,87604,0.315
Ben Hill,13017,69411,2.071
Bennett,46007,297073,0.27
Benson,38005,3672823,0.568
Bent,8011,3075335,2.045
Benton,53005,73125639,0.471
Berkeley,54003,802806,1.88
Berks,42011,4752308,2.372
Berrien,26021,2333092,0.829
Bertie,37015,1079582,1.418
Bexar,48029,666419,1.565
Big Horn,56003,415598,1.221
Big Stone,27011,11088467,1.734
Billings,38007,40410,0.663
Black Hawk,19013,293049,0.021
Blackford,18009,502074,0.092
Bladen,37017,4638751,2.788
Blaine,40011,170304,0.165
Blair,42013,3763115,3.917
