n,i,t,a
Acadia,22001,46498,1.347
Accomack,51001,200328,0.127
Adair,40001,867448,0.075
Adams,8001,34156644,0.357
Addison,50001,43149,0.197
Aiken,45003,12619,0.387
Aitkin,27001,64117,2.117
Alachua,12001,1187,0.022
Alcorn,28003,141712,1.136
Alexander,37003,72880,0.112
Allamakee,19005,378400,0.489
Allegan,26005,1149320,1.093
Alleghany,51005,34320,0.277
Allen,39003,13865260,0.477
Allendale,45005,111552,1.23
Alpena,26007,66953,0.747
Amelia,51007,596,0.005
Anderson,48001,362385,0.036
Andrew,29003,85439,0.027
Anoka,27003,203100,1.305
Anson,37007,4923,0.124
Antelope,31003,620668,0.19
Antrim,26009,1633,0.18
Appanoose,19007,126703,0.089
Appling,13001,147084,1.527
Appomattox,51011,1482,0.041
Arapahoe,8005,80064,0.524
Arenac,26011,249266,1.522
Armstrong,48011,345672,0.454
Ashland,55003,2262266,1.066
Ashley,5003,75497,0.334
Ashtabula,39007,961127,1.947
Atchison,29005,1274934,0.075
Athens,39009,107829,2.167
Audrain,29007,58745,0.039
Audubon,19009,133980,0.041
Auglaize,39011,185365,0.081
Augusta,51015,17537,0.088
Aurora,46003,1079824,0.274
Austin,48015,10151,0.442
Autauga,1001,11763,0.337
Avoyelles,22009,26527,0.133
Baca,8009,770082,0.265
Bacon,13005,13742,0.181
Baker,41001,24387,0.167
Baldwin,13009,29820,0.126
Ballard,21007,74700,0.731
Baltimore,24005,49390,0.076
Bamberg,45009,47233,0.639
Banner,31007,254661,0.714
Barbour,54001,7928,0.055
Barnes,38003,6047099,1.438
Barnwell,45011,483,0.005
Barren,21009,10153,0.084
Barron,55005,4017059,2.515
Barry,29009,933670,0.405
Bartholomew,18005,541238,0.307
Barton,29011,105942,0.039
Bates,29013,84433,0.175
Bath,51017,12252,0.286
Bay,26017,2541236,0.645
Beadle,46005,892402,0.05
Beaufort,45013,1631216,0.385
Beauregard,22011,7808,0.427
Beaver,49001,87618,0.553
Becker,27005,1371698,2.492
Bedford,51515,993328,0.127
Bee,48025,190447,0.261
Bell,48027,337662,0.201
Beltrami,27007,304335,2.277
Ben Hill,13017,808,0.198
Bennett,46007,254476,0.432
Benson,38005,4337137,4.535
Bent,8011,1989962,5.326
Benton,53005,33085116,0.379
Berkeley,54003,78080,0.544
Berks,42011,68524,0.061
Berrien,26021,1008698,0.558
Bertie,37015,9208,0.519
Bexar,48029,14003,0.019
Big Horn,56003,286326,0.184
Big Stone,27011,498369,0.146
Billings,38007,53674,3.36
Bingham,16011,5773,2.39
Black Hawk,19013,897642,0.308
Blackford,18009,447943,0.456
Bladen,37017,117600,0.322
Blair,42013,32943,0.035
Bleckley,13023,4715,0.554
Blue Earth,27013,872482,0.139
Bollinger,29017,10213,0.19
Bon Homme,46009,564912,0.243
Bond,17005,261614,0.253
Boone,54005,34578216,0.271
Botetourt,51023,9225,0.07
Bottineau,38009,73813,1.136
Boulder,8013,29953,0.681
Bourbon,21017,226046,0.195
Bowie,48037,80018,0.284
Bowman,38011,73241,1.002
Box Butte,31013,873400,0.683
Box Elder,49003,299092,1.439
Boyd,31015,5761792,2.805
Bradford,42015,297428,0.428
Branch,26023,933748,0.751
Brantley,13025,17227,2.439
Brazos,48041,6104,0.014
Breckinridge,21027,255650,1.094
Bremer,19017,693567,0.33
Briscoe,48045,18094,1.48
Bristol,51520,3150,0.16
Brookings,46011,765770,0.287
Brooks,48047,4548,0.114
Brown,55009,90357012,0.638
Brule,46015,2453605,2.31
Brunswick,51025,379416,0.511
Buchanan,51027,4276713,0.49
Bucks,42017,134083,0.261
Buena Vista,51530,356420,0.034
Buffalo,55011,8245269,0.926
Bullitt,21029,16411,1.506
Bulloch,13031,68814,0.35
Bullock,1011,1379,0.027
Buncombe,37021,21962,1.177
Bureau,17011,1352537,0.27
Burke,38013,88395,0.071
Burleigh,38015,346822,1.331
Burleson,48051,59927,0.493
Burlington,34005,8949,0.087
Burnett,55013,360735,1.382
Burt,31021,791556,0.359
Butler,42019,8088328,0.277
Butte,6007,114279,0.254
Cabarrus,37025,5171,0.397
Cache,49005,54450,0.838
Caddo,40015,21010,0.045
Caldwell,48055,802110,0.157
Calhoun,54013,11164285,0.345
Callaway,29027,106246,0.108
Calloway,21035,40057,0.16
Calumet,55015,1934596,5.199
Calvert,24009,5588,0.215
Cambria,42021,154481,0.507
Camden,37029,6536,0.005
Cameron,48061,104619,0.061
