n,i,t,a
Clayton,19043,10648566,1.427
Clearfield,42033,24400,0.468
Clearwater,27029,863458,1.102
Clermont,39025,894681,0.849
Cleveland,5025,51981,0.463
Clinch,13065,13861,0.28
Clinton,42035,153853704,0.527
Cloud,20029,63268,0.068
Coahoma,28027,227947,0.259
Cochise,4003,67759,0.113
Cocke,47029,213832,3.248
Codington,46029,1439145,0.251
Coffee,47031,9055389,1.325
Coffey,20031,448115,0.269
Colbert,1033,29420,0.073
Cole,29051,185800,2.086
Coles,17029,4369299,0.684
Colfax,35007,4628296,0.471
Colleton,45029,658222,2.047
Collin,48085,1875298,0.839
Colorado,8000,696408,1.144
Colquitt,13071,20883,0.092
Columbia,55021,59944440,0.602
Columbiana,39029,429950,0.305
Columbus,37047,3276671,1.199
Comal,48091,129424,1.536
Comanche,48093,168765,0.264
Concordia,22029,386763,0.33
Conecuh,1035,97230,0.499
Conway,5029,36409,0.884
Cook,27031,969855,0.331
Cooke,48097,116959,2.265
Cooper,29053,1107542,0.395
Corson,46031,18974,0.03
Coryell,48099,735308,1.807
Coshocton,39031,694247,0.57
Cottonwood,27033,3251336,0.375
Covington,51580,456171,0.837
Cowley,20035,441615,0.35
Craig,51045,385726,1.285
Craven,37049,2126924,3.498
Crawford,55023,139635045,0.791
Crenshaw,1041,114123,0.35
Crisp,13081,3928,0.107
Crittenden,5035,520232,0.428
Crockett,48105,537278,0.747
Cross,5037,5340,0.007
Crow Wing,27035,530570,1.057
Crowley,8025,159986,0.445
Culpeper,51047,195882,0.654
Cumberland,51049,25384824,0.863
Cuming,31039,3037742,0.125
Currituck,37053,11698,0.097
Curry,41015,9024,0.181
Custer,8027,29319030,0.112
Dade,29057,2135718,1.028
Dakota,31043,14853248,0.808
Dale,1045,117412,0.729
Dallam,48111,1214759,0.311
Dallas,5039,30179740,0.831
Dane,55025,9962599,1.533
Darke,39037,6536389,1.022
Darlington,45031,2507904,2.699
Dauphin,42043,186485,0.309
Davidson,47037,490700,1.578
Davie,37059,71568,0.378
Daviess,29061,34761210,0.783
Davis,49011,8008398,2.074
Davison,46035,2232717,0.824
Dawes,31045,94296,0.678
Dawson,48115,47107648,0.521
Day,46037,9984472,1.113
De Kalb,29063,37465300,0.591
De Soto,22031,422434,0.499
De Witt,48123,11443576,0.572
Deaf Smith,48117,1276618,0.62
Dearborn,18029,661242,1.783
Decatur,47039,62388565,1.12
Defiance,39039,4271850,1.165
Delaware,42045,160406148,1.012
Delta,8029,1389711,0.713
Denton,48121,392457,0.773
Des Moines,19057,3650425,3.921
Desha,5041,79155,0.109
Deuel,46039,3433688,0.218
Dewey,46041,158914,0.244
Dickey,38021,8696622,0.407
Dickinson,26043,8038359,0.209
Dillon,45033,910141,1.317
Dinwiddie,51053,508031,1.316
Divide,38023,86514,0.51
Dixon,31051,1011957,0.155
Dodge,55027,58962232,0.711
Doniphan,20043,1128572,0.265
Donley,48129,50043,0.777
Dooly,13093,10919,0.258
Door,55029,1016874,0.584
Dorchester,45035,2875402,1.176
Dougherty,13095,16674,0.443
Douglas,8035,147131100,1.833
Dubois,18037,2072234,0.666
Dubuque,19061,9219828,1.886
Dundy,31057,4629733,0.284
Dunklin,29069,181400,0.456
Dunn,55033,8430298,0.933
Duplin,37061,6016643,2.183
Dutchess,36027,24589,0.148
Dyer,47045,135796,0.174
Early,13099,372290,0.943
East Carroll,22035,236757,0.233
Eaton,26045,4471710,1.283
Eau Claire,55035,915246,0.314
Eddy,38027,1457068,0.39
Edgar,17045,8004679,0.934
Edgecombe,37065,947603,1.104
Edmonson,21061,69394,0.807
Edmunds,46045,1836935,0.126
Edwards,48137,5216502,0.308
Effingham,17049,3802654,1.243
Elbert,8039,769138,0.319
Elk,42047,66000,0.375
Elkhart,18039,1070963,1.194
Ellis,48139,10502997,1.172
Elmore,16039,47116,0.572
Emanuel,13107,292876,1.238
Emmet,26047,11029674,0.683
Emmons,38029,1068237,0.121
Erie,42049,4435533,0.626
Escambia,12033,42148,0.107
Essex,51057,2060230,0.189
Etowah,1055,523,0.006
Evangeline,22039,31878,0.908
Evans,13109,49929,0.841
Fairfield,9001,4210260,0.463
Fall River,46047,6129,0.388
Fallon,30025,753,0.046
Falls,48145,2078888,1.088
Fannin,48147,1379392,0.855
Faribault,27043,5080355,0.288
Faulk,46049,864122,0.142
Fauquier,51061,196665,0.335
Fayette,54019,202917033,0.679
Fillmore,31059,15486362,0.288
Finney,20055,3105709,0.518
Fleming,21069,21438,0.479
Florence,55037,3255560,1.776
Floyd,51063,48972516,0.694
Ford,20057,9605432,0.267
Forsyth,37067,150648,1.098
Fort Bend,48157,796852,0.574
Foster,38031,1389953,0.494
Fountain,18045,1792602,0.382
Franklin,53021,787229066,0.655
Frederick,51069,1852706,0.366
Freeborn,27047,4810887,0.223
Fremont,8043,59237284,2.086
Frio,48163,111167,0.407
Frontier,31063,2529708,0.197
Fulton,5049,45987624,0.398
Furnas,31065,2366218,0.273
Gadsden,12039,26391,1.01
Gage,31067,943106,0.084
Gallatin,30031,11948163,0.669
Gallia,39053,75302,0.692
Garden,31069,230836,0.134
Garfield,8045,3268560,0.4
Garvin,40049,100780,0.222
Gasconade,29073,252988,0.625
