n,i,t,a
Acadia,22001,2868,0.045
Adair,40001,270108,0.269
Adams,8001,4987944,0.436
Alamance,37001,1818,0.273
Alexander,37003,59238,1.073
Allamakee,19005,19736,0.54
Allegan,26005,101359,0.772
Allen,39003,275295,0.158
Alpena,26007,106181,2.917
Amelia,51007,2504,0.053
Anderson,48001,67055,0.068
Andrew,29003,7251,0.015
Anoka,27003,28533,0.35
Antelope,31003,196698,0.666
Appanoose,19007,94651,0.17
Appling,13001,2337,0.015
Appomattox,51011,37,0.003
Arenac,26011,171564,4.293
Armstrong,48011,652,0.04
Ashland,55003,25656,0.147
Ashtabula,39007,266559,5.841
Atascosa,48013,276,0.007
Atchison,29005,132442,0.083
Atkinson,13003,1774,0.155
Audrain,29007,51348,0.2
Audubon,19009,31310,0.042
Auglaize,39011,29643,0.19
Augusta,51015,19004,0.677
Aurora,46003,46941,0.063
Avoyelles,22009,13428,0.264
Baca,8009,12469,0.807
Bacon,13005,1737,0.033
Bailey,48017,111365,1.124
Baker,41001,47103,0.378
Baldwin,13009,38170,0.4
Ballard,21007,1549,0.177
Bamberg,45009,5074,0.077
Banner,31007,41984,0.527
Barbour,54001,25788,1.038
Barnes,38003,539329,2.88
Barren,21009,456,0.01
Barron,55005,767790,4.145
Barry,29009,36578,0.91
Bartholomew,18005,3661,1.929
Barton,29011,329528,1.71
Bates,29013,13670,0.161
Bath,51017,28154,1.927
Bay,26017,161000,2.555
Beadle,46005,239289,0.938
Beaufort,45013,26918,0.058
Becker,27005,318014,3.525
Bedford,51515,282820,0.355
Bee,48025,241605,0.732
Bell,48027,67758,0.383
Beltrami,27007,34670,3.858
Ben Hill,13017,731,0.09
Bennett,46007,141303,4.805
Benson,38005,304843,3.788
Bent,8011,5820,0.073
Benton,53005,3079134,0.309
Berkeley,54003,23518,0.161
Berrien,26021,85640,0.45
Bertie,37015,13026,0.083
Bexar,48029,34890,0.124
Big Horn,56003,38530,0.432
Big Stone,27011,161143,0.371
Billings,38007,7619,1.243
Black Hawk,19013,4106,0.002
Blackford,18009,22387,0.228
Bladen,37017,25973,1.297
Blaine,40011,102096,1.643
Blair,42013,16959,1.057
Blue Earth,27013,58864,0.068
Bon Homme,46009,16879,0.025
Bond,17005,21688,0.034
Boone,54005,2712256,0.254
Bottineau,38009,72180,2.17
Bourbon,21017,87076,0.437
Bowman,38011,53924,1.26
Box Butte,31013,58736,0.614
Boyd,31015,138044,4.804
Bracken,21023,144,0.013
Bradford,42015,379464,5.003
Branch,26023,27029,1.075
Brazoria,48039,33027,3.44
Breckinridge,21027,5783,0.19
Bremer,19017,14937,0.028
Brookings,46011,509755,2.21
Brooks,48047,87372,1.459
Brown,55009,15640434,0.708
Brule,46015,242755,0.25
Brunswick,51025,94188,1.006
Bryan,40013,69326,1.78
Buchanan,51027,164721,0.045
Buena Vista,51530,14286,0.004
Buffalo,55011,4046496,1.574
Bulloch,13031,748,0.004
Buncombe,37021,8416,0.75
Bureau,17011,259776,0.586
Burke,38013,28101,0.523
Burleigh,38015,408349,2.062
Burnett,55013,57821,2.393
Burt,31021,8144,0.008
Butler,42019,556504,0.231
Butte,6007,223929,0.917
Caddo,40015,4244,0.975
Caldwell,48055,35285,0.037
Calhoun,54013,4915537,0.696
Callaway,29027,2841,0.025
Calloway,21035,6724,0.037
Calumet,55015,23066,2.48
Cameron,48061,81126,1.3
Campbell,56005,2271045,0.852
