n,i,t,a
Kent,10001,254,0.0
Sussex,10005,4631,0.004
Alachua,12001,66566,1.579
Calhoun,12013,61947,1.29
Columbia,12023,8267,1.496
Dade,12025,447295,0.828
Escambia,12033,74498,1.71
Gadsden,12039,16161,2.002
Gilchrist,12041,19841,0.404
Hamilton,12047,41981,0.665
Holmes,12059,45496,3.194
Jackson,12063,287338,2.53
Jefferson,12065,4531,0.639
Lafayette,12067,1035,0.11
Levy,12075,3665,1.48
Madison,12079,10231,1.028
Okaloosa,12091,325,0.315
Palm Beach,12099,839793,0.672
St Johns,12109,85301,0.27
Santa Rosa,12113,7452,3.042
Suwannee,12121,29748,0.509
Walton,12131,26663,3.069
Washington,12133,60947,2.5
Appling,13001,210404,1.709
Atkinson,13003,12829,1.897
Bacon,13005,47722,1.245
Baker,13007,126807,0.858
Ben Hill,13017,5140,0.293
Berrien,13019,43318,0.856
Bleckley,13023,3251,0.55
Brantley,13025,9746,1.009
Brooks,13027,62539,1.143
Bulloch,13031,623454,2.623
Burke,13033,173322,1.429
Calhoun,13037,214260,3.072
Candler,13043,140912,1.616
Clay,13061,33029,2.386
Coffee,13069,17877,1.229
Colquitt,13071,24166,1.363
Cook,13075,3146,1.828
Crisp,13081,31215,1.97
Decatur,13087,512446,1.4
Dodge,13091,38733,2.208
Dooly,13093,58444,1.675
Dougherty,13095,6845,0.814
Early,13099,244569,2.357
Effingham,13103,328046,1.921
Emanuel,13107,72851,2.007
Evans,13109,5526,0.762
Grady,13131,973925,2.56
Houston,13153,21891,2.06
Irwin,13155,27410,0.264
Jeff Davis,13161,11322,0.723
Jefferson,13163,148635,1.851
Jenkins,13165,51468,0.828
Johnson,13167,9994,0.654
Lanier,13173,8682,0.429
Laurens,13175,38985,0.637
Lee,13177,176334,2.06
Lowndes,13185,46645,0.774
Macon,13193,51901,1.965
Marion,13197,34275,2.49
Miller,13201,218505,1.037
Mitchell,13205,84649,0.618
Montgomery,13209,7643,1.886
Peach,13225,1327,0.106
Pierce,13229,77792,0.64
Pulaski,13235,5561,0.963
Randolph,13243,62042,1.464
Schley,13249,28892,2.538
Screven,13251,182224,1.312
Seminole,13253,104541,0.857
Stewart,13259,53012,2.86
Sumter,13261,362017,2.876
Tattnall,13267,41411,0.742
Taylor,13269,16251,2.5
Telfair,13271,4266,0.677
Terrell,13273,390293,2.01
Thomas,13275,69410,0.591
Tift,13277,12357,0.861
Toombs,13279,22050,0.848
