n,i,t
Dauphin,42043,469055
Davidson,47037,289702
Davie,37059,149825
Daviess,29061,3663738
Davis,49011,923846
Davison,46035,1788220
Dawes,31045,46417
Dawson,48115,2300656
Day,46037,1538421
De Kalb,29063,4532268
De Soto,22031,285826
De Witt,48123,348976
Deaf Smith,48117,0
Dearborn,18029,219623
Decatur,47039,14123000
Defiance,39039,2019591
Delaware,42045,25034849
Delta,8029,488337
Denton,48121,0
Des Moines,19057,21419
Desha,5041,167576
Deuel,46039,440248
Dewey,46041,376562
Dickey,38021,8209820
Dickinson,26043,3492351
Dickson,47043,34356
Dillon,45033,325717
Dinwiddie,51053,468045
Divide,38023,0
Dixon,31051,627065
Dodge,55027,4860372
Dona Ana,35013,0
Doniphan,20043,738268
Donley,48129,19527
Dooly,13093,64467
Door,55029,1847050
Dorchester,45035,2046490
Dougherty,13095,19322
Douglas,8035,41063580
Drew,5043,78342
Dubois,18037,549867
Dubuque,19061,208312
Dundy,31057,250445
Dunklin,29069,83588
Dunn,55033,8708524
Duplin,37061,1736686
Dutchess,36027,7479
Duval,48131,0
Dyer,47045,104637
Early,13099,297426
East Carroll,22035,28849
Eaton,26045,2169675
Eau Claire,55035,1337303
Eddy,38027,320374
Edgar,17045,50460
Edgecombe,37065,879324
Edmonson,21061,126389
Edmunds,46045,3231557
Edwards,48137,3834291
Effingham,17049,253202
Elbert,8039,110446
Elk,42047,322882
Elkhart,18039,44151
Ellis,48139,159210
Ellsworth,20053,6254
Elmore,16039,99506
Emanuel,13107,206193
Emmet,26047,551358
Emmons,38029,312572
Erath,48143,0
Erie,42049,891846
Escambia,12033,145894
Essex,51057,13623175
Evangeline,22039,0
Evans,13109,83934
Fairfield,9001,99156
Fall River,46047,178288
Fallon,30025,10213
Falls,48145,1196345
Fannin,48147,123540
Faribault,27043,249955
Faulk,46049,1895431
Fauquier,51061,583255
Fayette,54019,31691957
Fillmore,31059,1137660
Finney,20055,511166
Fleming,21069,56748
Florence,55037,812780
Floyd,51063,3364224
Ford,20057,502782
Forsyth,37067,288262
Fort Bend,48157,13924
Foster,38031,515788
Fountain,18045,106154
Franklin,53021,337809004
Frederick,51069,6741444
Freeborn,27047,393616
Fremont,8043,15736800
Fresno,6019,1524
Frio,48163,1295
Frontier,31063,152955
Fulton,5049,9084760
Furnas,31065,706384
Gadsden,12039,54498
Gage,31067,789221
Gallatin,30031,977046
Gallia,39053,7865
Garden,31069,127930
Garfield,8045,2863734
Garvin,40049,2814
Gasconade,29073,36985
Gates,37073,489131
Geary,20061,5898
Genesee,36037,479564
Geneva,1061,944137
Gentry,29075,1306032
Georgetown,45043,27971
Gibson,47053,2478842
Gilchrist,12041,0
Giles,51071,344630
Gillespie,48171,0
Gladwin,26051,175421
Glenn,6021,0
Gloucester,51073,128120
Golden Valley,38033,0
Goliad,48175,27499
Gonzales,48177,7277
Goodhue,27049,1585437
Gooding,16047,0
Goshen,56015,1659656
Gosper,31073,826539
Gove,20063,638390
Grady,40051,2710400
Graham,4009,727863
Grand Forks,38035,590663
Grand Traverse,26055,357624
Grant,55043,129813960
Granville,37077,328413
Gratiot,26057,1670512
Graves,21083,476363
Gray,48179,304844
Grayson,51077,332487
Greeley,31077,1662650
Green,55045,1787376
Green Lake,55047,518118
Greene,51079,27014946
Greensville,51081,101221
Greenup,21089,0
Greenwood,45047,192432
Greer,40055,0
Gregory,46053,390629
Grenada,28043,161091
Griggs,38039,229155
Grundy,47061,3111508
Guadalupe,48187,318832
Guilford,37081,283081
Guthrie,19077,622457
Haakon,46055,360944
Hale,48189,58292
Halifax,51083,1171710
Hall,48191,2011173
Hamilton,48193,44814520
Hamlin,46057,1131997
Hampden,25013,0
Hampshire,54027,17392
Hampton,51650,148260
Hancock,54029,41023100
Hand,46059,1356694
Hanover,51085,451205
Hansford,48195,0
Hanson,46061,3533265
Hardeman,48197,296754
Hardin,48199,15505926
Harding,46063,19844
Hardy,54031,10698
Harford,24025,104902
Harlan,31083,740262
Harnett,37085,475335
Harper,40059,29174
Harris,48201,107280
Harrison,54033,18416880
Hart,21099,178814
Hartford,9003,1576
Hartley,48205,63587
Harvey,20079,131424
Haskell,48207,1052355
Hayes,31085,2804131
Hays,48209,11293
Haywood,47075,946090
Henderson,48213,2052550
Hendricks,18063,3355789
Hennepin,27053,643159
Henry,51089,44744280
Herkimer,36043,13917
Hertford,37091,1136338
Hettinger,38041,10505
Hickman,47081,119358
Hidalgo,48215,92258
Highland,51091,1434774
Hill,48217,439466
Hillsdale,26059,1410120
Hitchcock,31087,590007
Hocking,39073,14474
Hockley,48219,0
Hodgeman,20083,16527
Hoke,37093,81213
Holmes,39075,900708
Holt,31089,15035488
Hopkins,48223,211498
Horry,45051,920970
Houston,48225,3777035
Howard,5061,6964363
Hubbard,27057,125031
Hughes,46065,3039496
Humboldt,6023,1188420
Humphreys,47085,315252
Hunt,48231,0
Hunterdon,34019,12985
Huntingdon,42061,423000
Huntington,18069,1488128
Huron,39077,1770008
Hutchinson,48233,8259196
Hyde,46069,3141958
Iberville,22047,0
Ida,19093,284728
Independence,5063,79189
Indiana,42063,131216
Ingham,26065,1225920
Ionia,26067,1537868
Iosco,26069,48365
Iowa,55049,2637039
Iredell,37097,412819
Iroquois,17075,341584
Irwin,13155,429362
Isabella,26073,1307819
Isanti,27059,1834693
Isle of Wight,51093,978107
Issaquena,28055,0
Itawamba,28057,28020
Jackson,8057,201158400
Jasper,48241,9052504
Jay,18075,700320
Jeff Davis,48243,102042
Jefferson,8059,129081680
Jenkins,13165,176522
Jennings,18079,1113922
Jerauld,46073,705545
Jerome,16053,0
Jersey,17083,177007
Jessamine,21113,18709
Jewell,20089,114167
Jim Wells,48249,54187
Jo Daviess,17085,135288
Johnson,56019,43063200
Johnston,40069,1436206
Jones,48253,7724928
Juneau,55057,3320478
Juniata,42067,499641
Kalamazoo,26077,2266310
Kanabec,27065,904419
Kandiyohi,27067,4000105
Kane,49025,4890
Kankakee,17091,124743
Karnes,48255,6430
Kay,40071,1642388
Kearney,31099,287979
Kearny,20093,301771
Keith,31101,240346
Kendall,48259,44362
Kenosha,55059,739
Kent,48263,33267590
Keokuk,19107,625552
Kern,6029,0
Kewaunee,55061,2290379
Keya Paha,31103,148409
Kidder,38043,337343
Kimball,31105,194876
King George,51099,273784
King William,51101,862419
King and Queen,51097,1578273
Kingman,20095,4950
Kings,6031,0
Kingsbury,46077,1956973
Kiowa,8061,1042263
Kit Carson,8063,1778036
Kittson,27069,133943
Kleberg,48273,6908
Knox,48275,23144328
Koochiching,27071,0
Kosciusko,18085,254913
Kossuth,19109,966904
La Crosse,55063,265771
La Moure,38045,3801091
La Porte,18091,295589
La Salle,48283,692403
Labette,20099,1655004
Lafayette,55065,5369874
Lake,8065,18494100
Lake of the Woods,27077,1026
Lamar,48277,101312
Lamb,48279,0
Lancaster,51103,3177712
Lane,41039,121670
Langlade,55067,328236
Lanier,13173,61316
Lapeer,26087,1437514
Laramie,56021,160590
Larimer,8069,42975
Larue,21123,237435
Lauderdale,47097,2187693
Laurens,45059,124656
Lavaca,48285,11778
Lawrence,5075,119176420
Le Flore,40079,192018
Le Sueur,27079,1428928
Lea,35025,0
Leavenworth,20103,50658
Lebanon,42075,136392
Lee,51105,14002392
Leelanau,26089,22800
Leflore,28083,190626
Lehigh,42077,126275
Lenawee,26091,454443
Lenoir,37107,537692
Levy,12075,0
Lewis,54041,8306718
Lexington,51678,26034
Liberty,48291,1068636
Licking,39089,120378
Limestone,48293,2196302
Lincoln,8073,314831040
Linn,41043,2398992
Lipscomb,48295,0
Litchfield,9005,2133
Little River,5081,11641
Live Oak,48297,0
Livingston,36051,12841332
Logan,8075,69954440
Lonoke,5085,0
Lorain,39093,73712
Louisa,51109,668370
Loup,31115,25279
Lowndes,28087,1800357
Lubbock,48303,0
Lucas,39095,772554
Luna,35029,0
Lunenburg,51111,9786
Luzerne,42079,19339
Lycoming,42081,133281
Lyman,46085,1256129
Lyon,32019,22151305
Macomb,26099,385069
Macon,47111,2239062
Macoupin,17117,7937425
Madera,6039,0
Madison,51113,140465040
Mahaska,19123,358507
Mahnomen,27087,72108
Mahoning,39099,12121
Major,40093,5245
Malheur,41045,0
Manitowoc,55071,367735
Marathon,55073,4017749
Maricopa,4013,74789
Marinette,55075,1584205
Marion,54049,18566720
Marlboro,45069,29307
Marquette,55077,1438466
Marshall,54051,93075072
Martin,48317,7529748
Mason,54053,2324148
Massac,17127,62500
Matagorda,48321,201908
Maury,47119,519932
McClain,40087,0
McCone,30055,3345
McCook,46087,2418701
McCracken,21145,42074
McCulloch,48307,6324
McCurtain,40089,163470
McDonough,17109,87852
McHenry,38049,741538
McIntosh,40091,713970
McKenzie,38053,120648
McLean,38055,487854
McLennan,48309,366561
McLeod,27085,5009314
McMinn,47107,213849
McNairy,47109,268399
McPherson,46089,2332728
Meade,46093,322008
Mecklenburg,51117,301490
Mecosta,26107,411124
Medina,48325,122450
Meeker,27093,5097989
Mellette,46095,73195
Menard,48327,48032
Menominee,55078,3003544
Merced,6047,0
Mercer,54055,12884616
Merrick,31121,448963
Mesa,8077,0
Miami,39109,2990115
Midland,48329,1043470
Mifflin,42087,264425
Milam,48331,603211
Mille Lacs,27095,2271511
Miller,5091,1014882
Mills,48333,2613950
Miner,46097,1482396
Minidoka,16067,0
Minnehaha,46099,850387
Missaukee,26113,495177
Mississippi,5093,1024848
Mitchell,48335,2355390
Mobile,1097,0
Moniteau,29135,46543
Monona,19133,1614325
Monroe,55081,53362439
Montcalm,26117,927129
Montgomery,51121,202176414
Montour,42093,50095
Montrose,8085,0
Moody,46101,453438
Moore,48341,648540
Morehouse,22067,3188272
Morgan,8087,37647511
Morrill,31123,404590
Morris,48343,133506
Morrison,27097,16099029
Morrow,41049,525802
Morton,38059,1474810
Moultrie,17139,23719
Mountrail,38061,2115
Mower,27099,533960
Muhlenberg,21177,160112
Murray,40099,2601879
Muscatine,19139,273393
Muskegon,26121,268602
Muskingum,39119,109117
Muskogee,40101,25235
Nance,31125,334282
Nash,37127,120399
Natchitoches,22069,0
Navarro,48349,115489
Nelson,51125,1687578
Nemaha,31127,2551716
Neosho,20133,1539507
Ness,20135,0
New Castle,10003,218889
New London,9011,1869
New Madrid,29143,92287
Newaygo,26123,360777
Newton,5101,97710
Niagara,36063,76723
Nicholas,54067,64340
Nicollet,27103,3455342
Noble,40103,1724994
Nobles,27105,2185360
Nodaway,29147,1418454
Norman,27107,137894
Northampton,51131,3226686
Northumberland,51133,6470118
Norton,51720,2123336
Nowata,40105,187334
Noxubee,28103,2754810
Nuckolls,31129,77795
Nueces,48355,56536
Obion,47131,869012
Oceana,26127,118122
Ochiltree,48357,2688
Oconto,55083,2663933
Ogemaw,26129,139173
Ogle,17141,35831
Ohio,54069,215844
Okaloosa,12091,939
Oklahoma,40109,170898
Okmulgee,40111,6925
Oliver,38065,18605
Olmsted,27109,390419
Oneida,55085,15504
Onondaga,36067,863
Onslow,37133,109391
Ontario,36069,50673
Orange,6059,2029712
Orangeburg,45075,379033
Orleans,50019,49299
Osage,40113,824292
Osborne,20141,9075
Osceola,26133,1727316
Oswego,36075,5016
Otero,8089,113056
Otoe,31131,452119
Otsego,36077,3768
Ottawa,40115,5867068
Ouachita,5103,878036
Outagamie,55087,2760933
Owen,21187,181904
Owyhee,16073,24042
Ozaukee,55089,8698
Page,51139,1740092
Palo Alto,19147,1484369
Pamlico,37137,64604
Panola,48365,1023072
Park,8093,71862
Parke,18121,153745
Parmer,48369,145682
Pasquotank,37139,46524
Patrick,51141,15716
Paulding,39125,1616936
Pawnee,40117,320409
Payette,16075,0
Peach,13225,4390
Pembina,38067,433223
Pemiscot,29155,295481
Pender,37141,75390
Pendleton,54071,0
Pennington,46103,178510
Penobscot,23019,0
Peoria,17143,90593
Pepin,55091,897030
Perkins,46105,2617918
Perquimans,37143,348683
Perry,5105,27054060
Person,37145,309784
Pettis,29159,107808
Phelps,31137,541234
Phillips,8095,6208144
Piatt,17147,59878
Pickaway,39129,114509
Pierce,55093,24531985
Pike,5109,31674690
Pinal,4021,25688
Pine,27115,498078
Pipestone,27117,2164135
Pitt,37147,776043
Pittsylvania,51143,892164
Platte,56031,4014921
Plymouth,25023,14022334
Pocahontas,54075,2404078
Poinsett,5111,67432
Pointe Coupee,22077,0
Polk,55095,75177864
Pontotoc,40123,128756
Pope,5115,13517019
Portage,55097,1090520
Porter,18127,171164
Posey,18129,1361597
Pottawatomie,40125,399142
Potter,48375,1156989
Powell,30077,0
Poweshiek,19157,80876
Prairie,5117,81422
Pratt,20151,219336
Preble,39135,2714670
Prentiss,28117,109642
Presque Isle,26141,113190
Price,55099,109236
Prince Edward,51147,52410
Prince George,51149,65923
Prowers,8099,682146
Pueblo,8101,63630
Pulaski,5119,1125866
Putnam,54079,28844316
Quay,35037,43840
Queen Anne's,24035,2074956
Quitman,28119,1398312
Racine,55101,50804
Ralls,29173,72002
Ramsey,38071,4094394
Randall,48381,0
Randolph,54083,15358152
Ransom,38073,4199253
Rapides,22079,2557
Rawlins,20153,60494
Ray,29177,1684104
Red Lake,27125,56744
Red River,48387,209962
Red Willow,31145,1726533
Redwood,27127,2129190
Refugio,48391,8917
Reno,20155,523383
Rensselaer,36083,35627
Renville,38075,8275010
Republic,20157,67099
Rice,27131,4056340
Richardson,31147,388246
Richland,55103,65083179
Richmond,51760,11662920
Riley,20161,32204
Ringgold,19159,289497
Ripley,29181,3884064
Roberts,48393,3901714
Robertson,48395,9825840
Robeson,37155,2606387
Rock,55105,8802420
Rock Island,17161,99101
Rockbridge,51163,135702
Rockingham,51165,943002
Rogers,40131,3556
Rolette,38079,47896
Rooks,20163,14137
Roosevelt,35041,26574
Roseau,27135,84024
Rosebud,30087,0
Ross,39141,228904
Rowan,37159,338638
Rush,20165,4346298
Rusk,55107,1472592
Russell,51167,317408
Rutherford,47149,307942
Rutland,50021,0
Sac,19161,558983
Sacramento,6067,38886
Saginaw,26145,113622
Salem,51775,1133378
Saline,5125,5011265
Saluda,45081,114
Sampson,37163,2186774
San Joaquin,6077,16161
San Patricio,48409,0
Sanborn,46111,2286271
Sandusky,39143,489954
Sangamon,17167,19222
Sanilac,26151,702100
Sanpete,49039,0
Santa Rosa,12113,2619
Saratoga,36091,107532
Sargent,38081,6183955
Sarpy,31153,346117
Sauk,55111,1331520
Saunders,31155,219487
Sawyer,55113,1340628
Schley,13249,34283
Schoharie,36095,4496
Schuyler,36097,246600
Schuylkill,42107,696626
