n,i,t,a
Acadia,22001,15187,1.383
Adair,40001,446104,0.138
Adams,8001,17635728,0.696
Aiken,45003,839,0.837
Aitkin,27001,29609,6.55
Alexander,37003,76492,0.629
Allamakee,19005,95024,0.239
Allegan,26005,40697,0.16
Allegany,36003,59364,4.24
Allen,39003,448165,0.506
Alpena,26007,28397,2.757
Amelia,51007,1107,0.018
Andrew,29003,257121,1.084
Anoka,27003,17499,0.069
Antelope,31003,851923,4.13
Appanoose,19007,623948,2.601
Appling,13001,10753,0.1
Arenac,26011,86975,1.71
Armstrong,48011,236262,0.88
Ashland,55003,32508,0.44
Ashtabula,39007,18263,1.954
Atascosa,48013,150414,9.636
Atchison,29005,9809742,3.333
Athens,39009,31492,1.79
Atkinson,13003,4370,0.307
Audrain,29007,16418,0.117
Audubon,19009,7589,0.003
Auglaize,39011,30470,1.417
Augusta,51015,4052,0.025
Aurora,46003,409482,1.297
Avoyelles,22009,15559,1.052
Baca,8009,427307,2.558
Bacon,13005,2616,0.043
Baker,41001,2607,0.11
Baldwin,13009,7680,0.037
Ballard,21007,9178,0.178
Bamberg,45009,12055,0.235
Banner,31007,93157,1.79
Barbour,54001,31974,0.55
Barnes,38003,675401,1.91
Barren,21009,20186,0.462
Barron,55005,189213,0.307
Barry,29009,32394,0.19
Bartholomew,18005,11272,0.03
Barton,29011,4904,0.226
Bates,29013,38061,0.433
Bath,51017,55174,1.345
Bay,26017,70434,0.752
Bayfield,55007,23883,0.983
Beadle,46005,220785,0.207
Beaufort,45013,20036,0.103
Becker,27005,196637,3.418
Bedford,51515,642456,0.348
Bee,48025,1723525,9.936
Beltrami,27007,30402,1.268
Ben Hill,13017,13868,0.47
Bennett,46007,64264,2.235
Benson,38005,421721,3.287
Bent,8011,34507,1.01
Benton,53005,6780582,0.452
Berkeley,54003,173278,2.032
Berks,42011,18010,0.377
Berrien,26021,89726,0.246
Bertie,37015,17058,0.06
Bexar,48029,172629,6.032
Big Horn,56003,130896,2.037
Big Stone,27011,5565,0.024
Billings,38007,14845,2.258
Black Hawk,19013,2724429,2.351
Blackford,18009,61026,2.954
Bladen,37017,21531,0.49
Blaine,40011,365012,3.523
Blair,42013,37729,0.269
Bleckley,13023,315,0.088
Blue Earth,27013,25515,0.017
Bon Homme,46009,676169,1.25
Bond,17005,13203,0.014
Boone,54005,6945200,0.406
Bottineau,38009,31126,1.763
Bourbon,21017,51708,0.288
Bowie,48037,30212,1.033
Bowman,38011,40943,1.814
Box Butte,31013,278636,0.91
Boyd,31015,29180,0.343
Boyle,21021,26230,3.62
Bracken,21023,10268,0.458
Bradford,42015,121230,2.641
Branch,26023,29683,0.127
Brazoria,48039,674,0.83
Breckinridge,21027,9858,0.124
Bremer,19017,1216559,1.075
Briscoe,48045,2707,0.482
Brookings,46011,11743,0.025
Brooks,48047,20020,0.24
Brown,55009,16912017,0.666
Brule,46015,486413,4.383
Brunswick,51025,122208,1.074
Bryan,40013,6996,1.317
Buchanan,51027,3530424,0.562
Buckingham,51029,18314,0.587
Bucks,42017,2673,5.902
Buena Vista,51530,89610,0.033
Buffalo,55011,1274442,0.759
Bullitt,21029,5538,0.493
Bulloch,13031,1888,0.039
Buncombe,37021,25609,2.33
Bureau,17011,1279176,0.487
Burke,38013,28965,1.806
Burleigh,38015,665394,4.679
Burnett,55013,93497,0.817
Burt,31021,167863,1.36
Butler,42019,18817176,1.304
Butte,6007,843684,2.987
Cache,49005,9354,2.623
Caddo,40015,29092,2.942
Caldwell,48055,229180,0.27
Calhoun,54013,10306054,1.268
Callaway,29027,8548,0.147
Calloway,21035,18368,0.116
Calumet,55015,5714,0.044
Cambria,42021,35333,0.707
Cameron,48061,4964862,9.696
Campbell,56005,3753405,2.286
Candler,13043,313,0.011
Cape Girardeau,29031,1762,0.007
Carbon,56007,70840,0.766
Carlton,27017,21860,1.205
Caroline,51033,27820,0.065
Carroll,51035,3423355,0.494
Carver,27019,662,0.0
Casey,21045,22150,1.46
Cass,48067,16739901,0.515
Castro,48069,416,0.004
Caswell,37033,31283,1.646
Catahoula,22025,8516,2.643
Cattaraugus,36009,128342,3.503
Cavalier,38019,7432,3.73
Cecil,24015,36212,0.344
Cedar,31027,4065585,0.87
Centre,42027,39541,0.144
Cerro Gordo,19033,3651896,2.309
Chambers,48071,71722,4.895
Champaign,39021,117172,0.031
Chariton,29041,89134,0.35
Charles Mix,46023,212023,1.095
Charlotte,51037,31334,0.44
Chase,31029,217822,0.272
Chautauqua,36013,10028,1.204
Cheboygan,26031,11403,1.335
Cherokee,48073,831664,0.043
Cherry,31031,203006,2.005
Chesterfield,51041,26888,1.63
Cheyenne,8017,1056552,0.531
Chickasaw,28017,1528740,0.985
Chicot,5017,4350,2.745
Chippewa,55017,718320,0.218
Chisago,27025,33331,0.112
Christian,29043,103746,0.041
Cimarron,40025,33240,1.555
Clare,26035,29562,2.92
Clarendon,45027,58600,0.953
Clarion,42031,180905,4.03
Clark,55019,17911944,0.467
Clarke,51043,4786055,0.902
Clay,54015,13389930,0.519
