n,i,t,a
Acadia,22001,10820,1.085
Adair,40001,341672,0.164
Adams,8001,5145324,0.777
Alcorn,28003,13898,2.262
Alexander,37003,65692,1.603
Allamakee,19005,6196,0.05
Allegany,36003,32800,1.327
Allen,39003,206870,0.18
Anderson,48001,83175,0.918
Andrew,29003,13845,0.04
Anoka,27003,3619,0.022
Antelope,31003,90057,0.09
Appanoose,19007,100914,0.236
Ashland,55003,4068,0.06
Ashtabula,39007,98849,1.051
Atchison,29005,227098,0.269
Athens,39009,44652,2.814
Atkinson,13003,4602,0.533
Audrain,29007,65318,0.217
Auglaize,39011,52513,0.653
Aurora,46003,109225,0.153
Avoyelles,22009,14723,1.778
Baca,8009,102247,0.662
Bailey,48017,58291,1.236
Baldwin,13009,49466,0.272
Ballard,21007,123876,1.843
Banner,31007,19969,0.285
Barbour,54001,100090,3.992
Barnes,38003,187342,1.115
Barren,21009,21904,0.54
Barron,55005,69634,0.165
Bartholomew,18005,31290,0.161
Barton,29011,498038,4.054
Bates,29013,31604,1.235
Beadle,46005,54239,0.244
Beaufort,45013,522624,1.883
Becker,27005,134111,0.53
Bedford,51515,49988,0.675
Bee,48025,2164722,6.818
Beltrami,27007,30749,3.264
Ben Hill,13017,33161,1.12
Bennett,46007,12288,0.183
Benson,38005,163761,1.376
Benton,53005,2440836,0.095
Berrien,26021,204580,2.678
Bexar,48029,297104,5.374
Big Horn,56003,13268,0.29
Big Stone,27011,4076,0.003
Billings,38007,4516,1.298
Black Hawk,19013,245125,0.156
Blackford,18009,100707,1.028
Blue Earth,27013,57126,0.075
Bon Homme,46009,556125,1.432
Boone,54005,2461088,0.123
Bottineau,38009,20488,0.724
Bourbon,21017,63552,0.505
Bowman,38011,60875,2.09
Box Butte,31013,14120,0.023
Bradford,42015,106764,0.65
Breckinridge,21027,8159,0.098
Bremer,19017,131009,0.12
Brookings,46011,17071,0.115
Brown,55009,3862359,0.472
Brule,46015,29216,0.027
Brunswick,51025,497678,3.899
Bryan,40013,21676,1.975
Buchanan,51027,470250,0.276
Buena Vista,51530,408748,0.517
Buffalo,55011,863970,0.09
Bulloch,13031,118114,2.469
Bureau,17011,1231242,1.118
Burke,38013,699243,3.899
Burleigh,38015,451354,2.054
Burnett,55013,20862,0.675
Burt,31021,29134,0.033
Butler,42019,3030352,0.568
Butte,6007,131118,0.95
Calhoun,54013,3252722,1.132
Calloway,21035,62508,0.342
Calumet,55015,3981,0.048
Cameron,48061,1876245,3.8
Campbell,56005,4339845,3.45
Carlton,27017,3052,1.07
Carroll,51035,4467853,0.46
Carver,27019,28554,0.104
Cass,48067,3896316,0.499
Castro,48069,6667,0.022
Cattaraugus,36009,14163,0.442
Cavalier,38019,1666,0.653
Cedar,31027,512493,0.215
Centre,42027,14103,0.146
Cerro Gordo,19033,97485,0.038
Chambers,48071,55440,4.68
Champaign,39021,255434,0.113
Charles Mix,46023,356975,0.417
Chase,31029,159952,0.098
Chautauqua,36013,42742,1.36
Cherokee,48073,168408,0.012
Cheyenne,8017,421026,1.328
Chickasaw,28017,5910,1.053
Chicot,5017,77658,4.68
Chippewa,55017,383154,0.163
Chisago,27025,15270,0.033
Christian,29043,496554,0.261
Cimarron,40025,109634,1.92
Clarion,42031,64303,0.432
Clark,55019,10228416,0.538
Clarke,51043,1650120,0.454
Clay,54015,7196778,0.791
Clayton,19043,144884,0.88
Clearwater,27029,115640,2.405
Clermont,39025,14411,0.468
Clinton,42035,2649465,0.308
Cloud,20029,63655,0.893
Codington,46029,6667,0.017
Coffee,47031,238866,0.952
Coffey,20031,9956,0.207
Coles,17029,36384,0.1
Colfax,35007,350900,0.593
Columbia,55021,183400,0.072
Columbiana,39029,18603,0.195
Columbus,37047,383897,4.367
Conecuh,1035,25305,1.513
Cooper,29053,38297,0.188
Corson,46031,211230,2.585
Cottonwood,27033,35165,0.012
Covington,51580,46698,1.224
Crawford,55023,3110580,0.43
Crow Wing,27035,11815,0.117
Cumberland,51049,224080,0.761
Curry,41015,45298,0.177
Custer,8027,2805660,0.343
Dakota,31043,20070,0.006
Dale,1045,5350,1.142
Dallam,48111,317394,1.133
Dallas,5039,1865405,0.453
Dane,55025,15009,0.028
Darke,39037,281379,0.739
Davidson,47037,73880,4.628
Daviess,29061,701205,0.862
Davison,46035,94273,0.136
Dawson,48115,7916,0.183
Day,46037,7356,0.052
De Kalb,29063,299724,0.18
De Witt,48123,56424,0.062
Deaf Smith,48117,130220,1.075
Dearborn,18029,11715,0.173
Decatur,47039,2004170,0.618
Defiance,39039,47269,0.887
Delaware,42045,1271123,0.764
Delta,8029,19983,2.933
Des Moines,19057,114648,0.17
Deuel,46039,68648,0.041
Dickey,38021,349423,0.378
Dickinson,26043,443301,1.927
Dinwiddie,51053,8161,0.537
Divide,38023,17588,5.897
Dixon,31051,71603,0.272
Dodge,55027,1613052,1.041
Doniphan,20043,33713,0.047
Dooly,13093,16219,3.24
Door,55029,79964,1.143
Dorchester,45035,7786,0.125
Douglas,8035,2292600,0.089
Dubuque,19061,74846,0.066
Dunn,55033,615432,1.781
Duplin,37061,450175,2.435
Early,13099,15380,0.563
Eaton,26045,12625,0.075
Eau Claire,55035,67589,1.045
Eddy,38027,125154,1.278
Edgecombe,37065,132251,0.596
Edmunds,46045,194813,0.275
Edwards,48137,55911,0.103
Elk,42047,2696,1.895
Ellis,48139,520260,2.083
Ellsworth,20053,10443,1.165
Emanuel,13107,100430,3.206
Emmet,26047,122120,0.057
Emmons,38029,875872,3.014
Erie,42049,75423,0.438
Escambia,12033,42330,0.42
Evangeline,22039,23794,0.801
Fairfield,9001,121620,0.214
Fall River,46047,4170,0.077
Fannin,48147,174982,4.407
Faribault,27043,22405,0.01
Faulk,46049,28970,0.08
Fayette,54019,1297164,0.172
Fillmore,31059,51156,0.044
Finney,20055,3894,0.007
Fleming,21069,175456,2.84
Florence,55037,583028,2.957
Floyd,51063,788574,0.157
Ford,20057,60588,0.018
Forsyth,37067,31070,2.955
Fort Bend,48157,24900,2.08
Foster,38031,21567,0.195
Fountain,18045,45338,0.124
Franklin,53021,5290714,0.38
Freeborn,27047,44416,0.043
Fremont,8043,1671456,0.707
Frio,48163,198043,2.337
Frontier,31063,316516,0.852
Fulton,5049,1945992,0.631
Furnas,31065,381925,0.825
Gage,31067,6496,0.04
Gallia,39053,20205,1.186
Garden,31069,6602,0.078
Gates,37073,22160,0.454
Geauga,39055,3981,0.12
Genesee,36037,1460,0.027
Geneva,1061,14779,0.984
Gentry,29075,43758,0.126
Gibson,47053,487540,0.793
Giles,51071,83108,1.113
Golden Valley,38033,115260,4.372
Goodhue,27049,28475,0.02
Goshen,56015,22774,0.212
Grand Forks,38035,56179,0.632
Grant,55043,14067705,1.096
Gratiot,26057,24662,0.225
Graves,21083,2790,0.023
Gray,48179,9478,0.022
Greeley,31077,13844,0.107
Green,55045,215002,0.168
Green Lake,55047,5876,0.177
Greene,51079,9004268,0.421
Greensville,51081,10273,0.207
Gregory,46053,14011,0.048
Griggs,38039,4629,0.058
Grundy,47061,1215820,0.367
Guadalupe,48187,201330,3.655
Guthrie,19077,84153,0.18
Haakon,46055,55517,1.36
Hale,48189,25300,0.04
Halifax,51083,343650,1.69
Hamilton,48193,3657740,0.339
Hamlin,46057,24253,0.105
Hancock,54029,1823210,0.163
Hand,46059,165636,0.49
Hansford,48195,38024,0.533
Hanson,46061,91365,0.078
